O1	O2	O3	O4	O5	O6	O7	O8	O9	O10
0	0	0	0	1	1	1	0	0	NA
0	0	0	0	1	1	0	0	0	NA
0	0	1	0	0	0	0	0	0	NA
0	0	0	0	1	0	0	0	0	NA
1	1	1	0	1	0	0	0	0	NA
0	1	0	0	0	0	0	0	0	0
0	0	1	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	1	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	1	0	1	0	0	0	0	1
0	1	1	0	0	0	1	1	1	0
0	0	0	0	0	0	0	0	0	0
1	1	0	1	1	1	1	1	0	0
0	0	1	1	1	1	0	1	1	1
0	0	0	0	0	0	0	0	0	1
1	1	0	1	0	0	0	1	1	1
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	1	1	0	1	1
0	1	1	1	1	1	1	1	1	1
1	1	0	1	1	0	1	1	1	NA
1	1	1	0	1	1	1	1	1	0
0	0	0	0	0	0	1	1	1	0
0	0	0	0	0	0	0	0	0	NA
0	0	0	0	1	0	1	1	0	1
1	1	0	0	0	0	1	1	1	1
0	1	1	1	1	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0
1	1	1	1	1	1	1	0	0	1
1	1	1	0	1	1	1	1	1	1
0	0	0	0	0	1	0	0	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	NA
1	1	0	0	0	0	0	0	0	0
1	1	1	1	1	1	1	1	0	0
0	1	1	1	0	1	1	0	0	0
0	0	1	0	0	0	0	0	0	0
0	0	0	0	0	0	0	1	0	0
0	0	0	0	0	0	0	0	0	0
