O1	O2	O3	O4	O5	O6	O7	O8	O9	O10	O11	B	H	E
0	0	0	0	0	0	0	0	0	0	0	19.91	42	331
0	0	0	0	0	0	0	0	0	0	0	11.98	37	233
0	0	0	0	0	0	0	0	0	0	0	35.01	31	259
0	0	0	0	0	0	0	0	0	0	0	14.81	37	250
0	0	0	0	0	0	0	0	0	0	0	37.74	31	266
0	0	0	0	0	0	0	0	1	0	0	17.08	28	176
0	0	0	0	0	0	0	0	0	0	0	10.28	28	238
0	0	0	0	0	0	0	0	0	0	0	28.49	25	267
0	0	0	1	0	0	0	0	0	0	0	43.59	22	245
0	1	1	1	0	0	0	0	1	1	1	51.52	8	310
0	0	0	0	0	0	0	0	1	0	0	16.42	25	171
0	0	0	1	0	0	0	0	0	0	0	29.25	11	250
0	0	0	0	0	0	1	0	0	0	0	53.03	5	212
0	0	0	0	0	0	1	1	1	1	1	37.93	25	233
0	0	0	0	0	0	0	0	0	0	0	30.38	25	187
0	1	0	0	0	0	0	0	1	1	1	57.65	14	248
0	0	0	0	0	0	1	0	0	0	0	60.76	8	247
0	0	0	0	0	0	0	0	0	0	0	70.67	5	193
0	0	0	0	0	0	0	0	0	0	1	73.03	5	257
0	0	0	0	0	0	0	1	0	0	0	68.50	5	235
0	0	0	0	0	0	0	0	0	0	0	45.10	8	212
1	1	1	1	1	0	1	0	1	0	1	62.56	8	243
0	0	0	0	0	0	1	0	0	0	0	29.34	31	400
0	0	0	0	0	0	0	0	0	0	0	46.70	17	378
0	0	0	0	0	0	1	0	1	1	1	71.33	14	340
0	0	0	0	0	0	0	0	0	0	0	25.48	37	320
0	0	0	0	0	0	0	0	0	0	0	79.45	17	384
1	0	0	0	0	0	0	0	0	0	1	79.45	17	426
0	0	0	0	0	0	0	0	0	0	0	56.23	20	376
0	0	0	0	0	0	0	0	0	0	0	42.65	20	334
1	1	1	0	0	0	0	0	1	0	0	49.06	22	406
0	0	0	0	0	0	0	0	0	0	0	48.03	34	409
0	0	0	0	0	1	0	1	1	0	0	37.18	22	399
0	0	0	0	0	0	0	0	0	0	0	9.91	42	411
1	0	1	0	0	0	0	1	1	0	1	76.33	14	920
0	0	0	0	0	0	0	0	0	0	0	78.50	25	857
0	0	0	0	0	0	0	0	0	0	0	31.14	31	645
0	0	0	0	0	0	0	0	0	0	0	24.63	42	696
0	1	0	0	0	0	0	0	0	0	0	50.86	34	520
0	0	0	0	0	0	0	0	0	0	0	12.83	37	748
0	0	0	0	0	0	0	0	0	0	0	70.86	8	791
0	0	0	0	0	0	0	0	0	0	0	26.14	14	789
0	0	1	1	1	0	0	0	0	0	0	76.61	5	878
