"","layer","start","end","period","href","file"
"1","Temperature_1961_12_31_Temp_1961_1961_01_01_1962_01_01","1961-01-01","1962-01-01","1961-01-01_1962-01-01",NA,"Temperature_1961_12_31_Temp_1961_1961_01_01_1962_01_01.tif"
"2","Temperature_1962_12_31_Temp_1962_1962_01_01_1963_01_01","1962-01-01","1963-01-01","1962-01-01_1963-01-01",NA,"Temperature_1962_12_31_Temp_1962_1962_01_01_1963_01_01.tif"
"3","Temperature_1963_12_31_Temp_1963_1963_01_01_1964_01_01","1963-01-01","1964-01-01","1963-01-01_1964-01-01",NA,"Temperature_1963_12_31_Temp_1963_1963_01_01_1964_01_01.tif"
"4","Temperature_1964_12_31_Temp_1964_1964_01_01_1965_01_01","1964-01-01","1965-01-01","1964-01-01_1965-01-01",NA,"Temperature_1964_12_31_Temp_1964_1964_01_01_1965_01_01.tif"
"5","Temperature_1965_12_31_Temp_1965_1965_01_01_1966_01_01","1965-01-01","1966-01-01","1965-01-01_1966-01-01",NA,"Temperature_1965_12_31_Temp_1965_1965_01_01_1966_01_01.tif"
"6","Temperature_1966_12_31_Temp_1966_1966_01_01_1967_01_01","1966-01-01","1967-01-01","1966-01-01_1967-01-01",NA,"Temperature_1966_12_31_Temp_1966_1966_01_01_1967_01_01.tif"
"7","Temperature_1967_12_31_Temp_1967_1967_01_01_1968_01_01","1967-01-01","1968-01-01","1967-01-01_1968-01-01",NA,"Temperature_1967_12_31_Temp_1967_1967_01_01_1968_01_01.tif"
"8","Temperature_1968_12_31_Temp_1968_1968_01_01_1969_01_01","1968-01-01","1969-01-01","1968-01-01_1969-01-01",NA,"Temperature_1968_12_31_Temp_1968_1968_01_01_1969_01_01.tif"
"9","Temperature_1969_12_31_Temp_1969_1969_01_01_1970_01_01","1969-01-01","1970-01-01","1969-01-01_1970-01-01",NA,"Temperature_1969_12_31_Temp_1969_1969_01_01_1970_01_01.tif"
"10","Temperature_1970_12_31_Temp_1970_1970_01_01_1971_01_01","1970-01-01","1971-01-01","1970-01-01_1971-01-01",NA,"Temperature_1970_12_31_Temp_1970_1970_01_01_1971_01_01.tif"
"11","Temperature_1971_12_31_Temp_1971_1971_01_01_1972_01_01","1971-01-01","1972-01-01","1971-01-01_1972-01-01",NA,"Temperature_1971_12_31_Temp_1971_1971_01_01_1972_01_01.tif"
"12","Temperature_1972_12_31_Temp_1972_1972_01_01_1973_01_01","1972-01-01","1973-01-01","1972-01-01_1973-01-01",NA,"Temperature_1972_12_31_Temp_1972_1972_01_01_1973_01_01.tif"
"13","Temperature_1973_12_31_Temp_1973_1973_01_01_1974_01_01","1973-01-01","1974-01-01","1973-01-01_1974-01-01",NA,"Temperature_1973_12_31_Temp_1973_1973_01_01_1974_01_01.tif"
"14","Temperature_1974_12_31_Temp_1974_1974_01_01_1975_01_01","1974-01-01","1975-01-01","1974-01-01_1975-01-01",NA,"Temperature_1974_12_31_Temp_1974_1974_01_01_1975_01_01.tif"
"15","Temperature_1975_12_31_Temp_1975_1975_01_01_1976_01_01","1975-01-01","1976-01-01","1975-01-01_1976-01-01",NA,"Temperature_1975_12_31_Temp_1975_1975_01_01_1976_01_01.tif"
"16","Temperature_1976_12_31_Temp_1976_1976_01_01_1977_01_01","1976-01-01","1977-01-01","1976-01-01_1977-01-01",NA,"Temperature_1976_12_31_Temp_1976_1976_01_01_1977_01_01.tif"
"17","Temperature_1977_12_31_Temp_1977_1977_01_01_1978_01_01","1977-01-01","1978-01-01","1977-01-01_1978-01-01",NA,"Temperature_1977_12_31_Temp_1977_1977_01_01_1978_01_01.tif"
"18","Temperature_1978_12_31_Temp_1978_1978_01_01_1979_01_01","1978-01-01","1979-01-01","1978-01-01_1979-01-01",NA,"Temperature_1978_12_31_Temp_1978_1978_01_01_1979_01_01.tif"
