global unique identifier	last edited date	taxonomic order	category	taxon concept id	common name	scientific name	subspecies common name	subspecies scientific name	exotic code	observation count	breeding code	breeding category	behavior code	age/sex	country	country code	state	state code	county	county code	iba code	bcr code	usfws code	atlas block	locality	locality id	locality type	latitude	longitude	observation date	time observations started	observer id	sampling event identifier	protocol type	protocol code	project code	duration minutes	effort distance km	effort area ha	number observers	all species reported	group identifier	has media	approved	reviewed	reason	trip comments	species comments	
URN:CornellLabOfOrnithology:EBIRD:OBS172408958	2020-02-03 15:37:35	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				X					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Reserva Ecológica Río Blanco	L2241379	H	5.0694879	-75.4413374	2012-12-09	15:30:00	obsr229232	S12273864	Traveling	P22	EBIRD	240	4.828	NA	3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS172414852	2020-03-29 20:51:06	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				X					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Reserva Ecológica Río Blanco	L2241379	H	5.0694879	-75.4413374	2012-12-10	05:00:00	obsr229232	S12274269	Traveling	P22	EBIRD	840	6.437	NA	3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS287422252	2020-02-03 15:37:35	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				X					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Reserva Ecológica Río Blanco	L2241379	H	5.0694879	-75.4413374	2012-12-01	09:00:00	obsr508506	S21055286	Traveling	P22	EBIRD	180	2	NA	4	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS174506913	2022-07-07 15:31:25.196079	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				1					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Finca el Placer (acceso privado)	L630897	H	5.0356441	-75.5704321	2012-12-29	07:50:00	obsr162659	S12429890	Traveling	P22	EBIRD	80	1.76	NA	1	1		0	1	0		Ruta Cafetal		
URN:CornellLabOfOrnithology:EBIRD:OBS172149784	2020-02-03 15:37:35	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				X					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Reserva Ecológica Río Blanco	L2241379	H	5.0694879	-75.4413374	2012-12-09	05:00:00	obsr229232	S12255506	Traveling	P22	EBIRD	420	6.437	NA	3	1		1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS174776637	2023-01-04 19:10:34.834678	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				3					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Finca el Placer (acceso privado)	L630897	H	5.0356441	-75.5704321	2012-12-30	07:00:00	obsr162659	S12451690	Traveling	P22	EBIRD	90	1.287	NA	1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS627224633	2022-10-25 08:12:56.408863	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				4					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Muestreo Rio Manso	L7513010	P	5.6009519	-74.9534941	2012-12-05		obsr424749	S46267408	Historical	P62	EBIRD	NA	NA	NA	NA	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS870771926	2022-11-04 13:44:21.784373	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				X					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Bosque Popular El Prado - Manizales	L3857786	P	5.0357941	-75.4729924	2012-12-21		obsr645616	S65143338	Historical	P62	EBIRD	NA	NA	NA	NA	0		1	1	0		Historical checklist created by eBird/Macaulay Library from Internet Bird Collection media. Original IBC location name and coordinates: Manizales (5.0358, -75.4819).		
URN:CornellLabOfOrnithology:EBIRD:OBS203615809	2022-10-26 04:33:28.195073	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				1					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Reserva Ecológica Río Blanco	L2241379	H	5.0694879	-75.4413374	2012-12-20		obsr206697	S14585822	Incidental	P20	EBIRD	NA	NA	NA	NA	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS176745623	2022-10-26 06:20:04.1587	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				3					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Reserva Ecológica Río Blanco	L2241379	H	5.0694879	-75.4413374	2012-12-10	05:15:00	obsr162387	S12608951	Incidental	P20	EBIRD	NA	NA	NA	1	1		0	1	0				
