"site","y.1","y.2","y.3","y.4","y.5","y.6","y.7","y.8","y.9","y.10","bio18_1981_01_01_1982_01_01","bio4_1981_01_01_1982_01_01","bio7_1981_01_01_1982_01_01","duration_minutes.1","duration_minutes.2","duration_minutes.3","duration_minutes.4","duration_minutes.5","duration_minutes.6","duration_minutes.7","duration_minutes.8","duration_minutes.9","duration_minutes.10"
"15_121",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15_158",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17_121",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17_158",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,162,NA,NA,NA,NA,NA,NA,NA,NA
"17_159",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19_91",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,11,NA,NA,NA,NA,NA,NA,NA,NA
"19_93",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19_97",1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,25,50,10,NA,NA,NA,NA,NA,NA
"19_135",1,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,120,20,7,6,4,5,NA,NA,NA,NA
"19_150",0,1,0,1,0,0,0,1,NA,NA,NA,NA,NA,35,210,165,102,31,50,39,10,NA,NA
"19_155",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19_158",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19_162",0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,130,120,65,1,63,3,NA,NA,NA,NA
"27_83",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27_85",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,136,NA,NA,NA,NA,NA,NA,NA,NA
"28_85",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,269,NA,NA,NA,NA,NA,NA,NA
"28_94",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28_131",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,200,NA,NA,NA,NA,NA,NA,NA,NA
"29_162",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31_152",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56_154",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91_158",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,20,NA,NA,NA,NA,NA,NA,NA
"140_77",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140_122",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146_133",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,180,NA,NA,NA,NA,NA,NA,NA,NA
"154_161",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159_78",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159_159",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161_112",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169_113",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,190,NA,NA,NA,NA,NA,NA,NA,NA
"170_97",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,103,18,31,81,36,NA,NA,NA,NA,NA
"171_85",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142,32,30,NA,NA,NA,NA,NA,NA,NA
"171_94",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,46,25,97,10,13,NA,NA,NA,NA,NA
"171_131",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171_157",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171_164",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,48,25,75,NA,NA,NA,NA,NA,NA
"173_161",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176_140",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179_109",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182_115",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183_164",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,153,212,83,NA,NA,NA,NA,NA,NA
"192_152",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165,NA,NA,NA,NA,NA,NA,NA,NA,NA
