"","site","y.1","y.2","y.3","y.4","y.5","y.6","y.7","y.8","y.9","y.10","huella","altitud","duration_minutes.1","duration_minutes.2","duration_minutes.3","duration_minutes.4","duration_minutes.5","duration_minutes.6","duration_minutes.7","duration_minutes.8","duration_minutes.9","duration_minutes.10"
"1","10021_3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,1035,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","10034_5",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,1006,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","10041_9",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,963,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","10042_0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,65,987,45,38,NA,NA,NA,NA,NA,NA,NA,NA
"5","10042_6",0,0,NA,NA,NA,NA,NA,NA,NA,NA,65,987,30,36,NA,NA,NA,NA,NA,NA,NA,NA
"6","10042_9",0,0,NA,NA,NA,NA,NA,NA,NA,NA,65,987,25,5,NA,NA,NA,NA,NA,NA,NA,NA
"7","10049_10",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,1147,223,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","10052_1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,1254,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","10052_11",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,1254,242,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","10052_12",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,1254,118,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","10052_3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,1254,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","10052_5",1,0,0,NA,NA,NA,NA,NA,NA,NA,62,1254,72,35,15,NA,NA,NA,NA,NA,NA,NA
"13","10052_8",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,1254,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","10161_9",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,999,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","10162_11",0,0,NA,NA,NA,NA,NA,NA,NA,NA,68,1018.5,2,3,NA,NA,NA,NA,NA,NA,NA,NA
"16","10164_3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,1146,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","10182_0",0,0,0,0,NA,NA,NA,NA,NA,NA,68,936,20,33,58,32,NA,NA,NA,NA,NA,NA
"18","10182_6",0,0,0,0,NA,NA,NA,NA,NA,NA,68,936,24,28,29,156,NA,NA,NA,NA,NA,NA
"19","10182_9",0,0,0,NA,NA,NA,NA,NA,NA,NA,68,936,10,15,28,NA,NA,NA,NA,NA,NA,NA
"20","10198_10",0,0,0,0,1,NA,NA,NA,NA,NA,60,1784.5,240,146,91,129,120,NA,NA,NA,NA,NA
"21","10198_11",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,1784.5,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","10198_2",0,0,0,NA,NA,NA,NA,NA,NA,NA,60,1784.5,43,51,70,NA,NA,NA,NA,NA,NA,NA
"23","10198_3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,1784.5,60,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","10198_4",1,1,NA,NA,NA,NA,NA,NA,NA,NA,60,1784.5,240,240,NA,NA,NA,NA,NA,NA,NA,NA
"25","10198_6",0,1,1,NA,NA,NA,NA,NA,NA,NA,60,1784.5,21,2,56,NA,NA,NA,NA,NA,NA,NA
"26","10296_2",0,0,0,0,NA,NA,NA,NA,NA,NA,60,1220,180,30,17,50,NA,NA,NA,NA,NA,NA
"27","10297_2",0,0,NA,NA,NA,NA,NA,NA,NA,NA,68,1109,27,85,NA,NA,NA,NA,NA,NA,NA,NA
"28","10302_6",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,982,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","10302_9",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,982,45,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","10309_4",0,0,NA,NA,NA,NA,NA,NA,NA,NA,60,1302,56,54,NA,NA,NA,NA,NA,NA,NA,NA
"31","10310_4",0,0,0,NA,NA,NA,NA,NA,NA,NA,71,1173,180,42,54,NA,NA,NA,NA,NA,NA,NA
"32","10323_0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,60,941,28,26,NA,NA,NA,NA,NA,NA,NA,NA
"33","10323_6",0,0,0,0,0,NA,NA,NA,NA,NA,60,941,10,18,16,31,64,NA,NA,NA,NA,NA
"34","10323_9",0,0,0,0,NA,NA,NA,NA,NA,NA,60,941,5,2,10,90,NA,NA,NA,NA,NA,NA
"35","10326_4",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,1037,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","10326_5",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,1037,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","10326_7",0,0,0,NA,NA,NA,NA,NA,NA,NA,60,1037,49,91,1,NA,NA,NA,NA,NA,NA,NA
"38","10335_6",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,1572,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","10335_9",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,1572,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","10338_2",0,1,NA,NA,NA,NA,NA,NA,NA,NA,60,1767,129,90,NA,NA,NA,NA,NA,NA,NA,NA
"41","10338_6",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,1767,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","10338_7",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,1767,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","10338_9",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,1767,153,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","10341_3",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,2202,60,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","10342_10",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,2261,270,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","10342_6",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,2261,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","10450_4",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,1399,207,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","10450_9",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,1399,300,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","10459_4",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,946,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","10460_7",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,1022,120,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","10467_0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,1055,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","10471_0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,1350,45,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","10478_5",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,1910,39,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","10482_3",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,2157,117,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","10577_4",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,1286,29,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","10583_11",0,0,NA,NA,NA,NA,NA,NA,NA,NA,68,965,4,5,NA,NA,NA,NA,NA,NA,NA,NA
"57","10583_3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,965,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","10585_4",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,1031.5,76,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","10589_4",0,1,1,NA,NA,NA,NA,NA,NA,NA,60,1651,75,160,45,NA,NA,NA,NA,NA,NA,NA
"60","10602_3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,993,72,NA,NA,NA,NA,NA,NA,NA,NA,NA
