"","V1","X","Cam.Site","scientificName","vernacularName","eventDate","eventTime","organismQuantity","class","order","family","genus","filename","V1","X.1","X","No_spp","events","Lat_X","Long_Y","Instal.Date","Last.eventDate","Cam.Days","ID","elevation2010.01.01.2011.01.01","Dis_forest","dist_rios"
"1",67,67,"Platanillo1_2178","Cuniculus paca","Guagua","22/07/2019","12:39",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo1_2178_01060025.JPG",6,6,6,6,35,0.48503,-76.29539,"16/07/2019","06/11/2019",113,43271,229.375,66,307
"2",68,68,"Platanillo2_2180","Cuniculus paca","Guagua","26/07/2019","19:13",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo2_2180_07260113.JPG",12,12,12,8,54,0.51418,-76.2955,"14/07/2019","06/11/2019",115,42125,224.75,85,235
"3",69,69,"Platanillo2_2180","Cuniculus paca","Guagua","26/07/2019","19:13",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo2_2180_07260114.JPG",12,12,12,8,54,0.51418,-76.2955,"14/07/2019","06/11/2019",115,42125,224.75,85,235
"4",70,70,"Platanillo2_2180","Cuniculus paca","Guagua","26/07/2019","19:13",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo2_2180_07260115.JPG",12,12,12,8,54,0.51418,-76.2955,"14/07/2019","06/11/2019",115,42125,224.75,85,235
"5",71,71,"Platanillo2_2180","Cuniculus paca","Guagua","6/08/2019","18:59",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo2_2180_08060157.JPG",12,12,12,8,54,0.51418,-76.2955,"14/07/2019","06/11/2019",115,42125,224.75,85,235
"6",72,72,"Platanillo2_2180","Cuniculus paca","Guagua","6/08/2019","18:59",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo2_2180_08060158.JPG",12,12,12,8,54,0.51418,-76.2955,"14/07/2019","06/11/2019",115,42125,224.75,85,235
"7",73,73,"Platanillo2_2180","Cuniculus paca","Guagua","6/08/2019","18:59",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo2_2180_08060159.JPG",12,12,12,8,54,0.51418,-76.2955,"14/07/2019","06/11/2019",115,42125,224.75,85,235
"8",74,74,"Platanillo2_2180","Cuniculus paca","Guagua","1/09/2019","23:03",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo2_2180_09010213.JPG",12,12,12,8,54,0.51418,-76.2955,"14/07/2019","06/11/2019",115,42125,224.75,85,235
"9",75,75,"Platanillo2_2180","Cuniculus paca","Guagua","1/09/2019","23:03",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo2_2180_09010214.JPG",12,12,12,8,54,0.51418,-76.2955,"14/07/2019","06/11/2019",115,42125,224.75,85,235
"10",76,76,"Platanillo2_2180","Cuniculus paca","Guagua","1/09/2019","23:03",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo2_2180_09010215.JPG",12,12,12,8,54,0.51418,-76.2955,"14/07/2019","06/11/2019",115,42125,224.75,85,235
"11",77,77,"Platanillo3_3309","Cuniculus paca","Guagua","12/07/2019","19:29",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo3_3309_07120007.JPG",18,18,18,8,34,0.53441,-76.27708,"12/07/2019","07/11/2019",118,41363,210.9375,4,480
"12",78,78,"Platanillo3_3309","Cuniculus paca","Guagua","14/07/2019","4:00",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo3_3309_07140018.JPG",18,18,18,8,34,0.53441,-76.27708,"12/07/2019","07/11/2019",118,41363,210.9375,4,480
"13",79,79,"Platanillo3_3309","Cuniculus paca","Guagua","18/07/2019","19:05",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo3_3309_07180025.JPG",18,18,18,8,34,0.53441,-76.27708,"12/07/2019","07/11/2019",118,41363,210.9375,4,480
"14",80,80,"Platanillo3_3309","Cuniculus paca","Guagua","27/07/2019","4:42",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo3_3309_07270094.JPG",18,18,18,8,34,0.53441,-76.27708,"12/07/2019","07/11/2019",118,41363,210.9375,4,480
"15",81,81,"Platanillo3_3309","Cuniculus paca","Guagua","30/07/2019","4:30",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo3_3309_07300100.JPG",18,18,18,8,34,0.53441,-76.27708,"12/07/2019","07/11/2019",118,41363,210.9375,4,480
"16",82,82,"Platanillo3_3309","Cuniculus paca","Guagua","31/07/2019","19:52",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo3_3309_07310109.JPG",18,18,18,8,34,0.53441,-76.27708,"12/07/2019","07/11/2019",118,41363,210.9375,4,480
"17",83,83,"Platanillo3_3309","Cuniculus paca","Guagua","18/08/2019","19:10",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo3_3309_08180199.JPG",18,18,18,8,34,0.53441,-76.27708,"12/07/2019","07/11/2019",118,41363,210.9375,4,480
"18",84,84,"Platanillo3_3309","Cuniculus paca","Guagua","20/08/2019","20:09",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo3_3309_08200205.JPG",18,18,18,8,34,0.53441,-76.27708,"12/07/2019","07/11/2019",118,41363,210.9375,4,480
"19",85,85,"Platanillo3_3309","Cuniculus paca","Guagua","21/08/2019","0:26",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo3_3309_08210208.JPG",18,18,18,8,34,0.53441,-76.27708,"12/07/2019","07/11/2019",118,41363,210.9375,4,480
"20",86,86,"Platanillo3_3309","Cuniculus paca","Guagua","25/08/2019","1:04",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo3_3309_08250220.JPG",18,18,18,8,34,0.53441,-76.27708,"12/07/2019","07/11/2019",118,41363,210.9375,4,480
"21",87,87,"Platanillo3_3309","Cuniculus paca","Guagua","27/08/2019","0:56",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo3_3309_08270226.JPG",18,18,18,8,34,0.53441,-76.27708,"12/07/2019","07/11/2019",118,41363,210.9375,4,480
"22",88,88,"Platanillo3_3309","Cuniculus paca","Guagua","28/08/2019","22:43",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo3_3309_08280232.JPG",18,18,18,8,34,0.53441,-76.27708,"12/07/2019","07/11/2019",118,41363,210.9375,4,480
"23",89,89,"Platanillo3_3309","Cuniculus paca","Guagua","29/08/2019","19:43",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo3_3309_08290235.JPG",18,18,18,8,34,0.53441,-76.27708,"12/07/2019","07/11/2019",118,41363,210.9375,4,480
"24",90,90,"Platanillo1_3310","Cuniculus paca","Guagua","30/07/2019","9:15",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo1_3310_01140025.JPG",7,7,7,4,5,0.47677,-76.29573,"16/07/2019","07/11/2019",114,43653,231.0625,69,292
"25",91,91,"Platanillo2_3312","Cuniculus paca","Guagua","22/07/2019","1:59",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo2_3312_07220013.JPG",13,13,13,6,23,0.52424,-76.29439,"14/07/2019","06/11/2019",115,41743,220.625,37,129
"26",92,92,"Platanillo2_3312","Cuniculus paca","Guagua","26/07/2019","22:22",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo2_3312_07260025.JPG",13,13,13,6,23,0.52424,-76.29439,"14/07/2019","06/11/2019",115,41743,220.625,37,129
"27",93,93,"Platanillo2_3312","Cuniculus paca","Guagua","14/08/2019","21:09",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo2_3312_08140117.JPG",13,13,13,6,23,0.52424,-76.29439,"14/07/2019","06/11/2019",115,41743,220.625,37,129
"28",94,94,"Platanillo2_3312","Cuniculus paca","Guagua","15/08/2019","19:41",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo2_3312_08150118.JPG",13,13,13,6,23,0.52424,-76.29439,"14/07/2019","06/11/2019",115,41743,220.625,37,129
