checklist_id,observer_id,observation_count,species_observed,state_code,locality_id,latitude,longitude,protocol_type,all_species_reported,observation_date,year,day_of_year,hours_of_day,effort_hours,effort_distance_km,effort_speed_kmph,number_observers
S63442515,obs1321753,0,FALSE,CO-CAL,L10016781,5.3310154,-74.9223842,Traveling,1,2020-01-16,2020,16,7.05,0.85,0.49,0.5764705882352941,1
S62967986,obs1414571,1,TRUE,CO-CAL,L10030232,5.0360603,-75.5351733,Stationary,1,2020-01-03,2020,3,1,2.5,0,0,1
S64532423,obs669195,0,FALSE,CO-CAL,L10039067,5.1143896,-75.5062702,Stationary,1,2020-02-15,2020,46,17.35,0.5833333333333334,0,0,1
S101156697,obs1080154,0,FALSE,CO-CAL,L10050170,5.476868,-74.6690378,Stationary,1,2022-01-21,2022,21,15.516666666666667,1.1333333333333333,0,0,2
S62939007,obs669195,0,FALSE,CO-CAL,L10067922,5.0683641,-75.4744504,Stationary,1,2020-01-02,2020,2,20.75,0.03333333333333333,0,0,1
S64679695,obs1133303,3,TRUE,CO-CAL,L10079498,5.0890114,-75.5333151,Traveling,1,2020-02-17,2020,48,17.083333333333332,1,0.1,0.1,2
S83920621,obs397020,0,FALSE,CO-CAL,L10079498,5.0890114,-75.5333151,Stationary,1,2021-03-22,2021,81,17.766666666666666,0.3333333333333333,0,0,2
S66237466,obs397020,5,TRUE,CO-CAL,L10079498,5.0890114,-75.5333151,Traveling,1,2020-03-21,2020,81,7.783333333333333,0.6166666666666667,0.32,0.518918918918919,1
S63828030,obs1133303,0,FALSE,CO-CAL,L10079498,5.0890114,-75.5333151,Stationary,1,2020-01-25,2020,25,19.5,0.16666666666666666,0,0,2
S82589136,obs397020,0,FALSE,CO-CAL,L10079498,5.0890114,-75.5333151,Stationary,1,2021-03-01,2021,60,13.583333333333334,0.06666666666666667,0,0,2
S64729987,obs1133303,3,TRUE,CO-CAL,L10079498,5.0890114,-75.5333151,Traveling,1,2020-02-18,2020,49,6.816666666666666,2.4833333333333334,0.63,0.2536912751677852,2
S64729927,obs1133303,0,FALSE,CO-CAL,L10079498,5.0890114,-75.5333151,Stationary,1,2020-02-18,2020,49,19.283333333333335,0.03333333333333333,0,0,2
S64754986,obs1133303,7,TRUE,CO-CAL,L10079498,5.0890114,-75.5333151,Traveling,1,2020-02-19,2020,50,6.366666666666666,3.6,0.58,0.1611111111111111,2
S66236051,obs397020,2,TRUE,CO-CAL,L10079498,5.0890114,-75.5333151,Traveling,1,2020-03-26,2020,86,7.3,1.9666666666666666,0.63,0.32033898305084746,2
S66237340,obs397020,5,TRUE,CO-CAL,L10079498,5.0890114,-75.5333151,Traveling,1,2020-03-20,2020,80,6.383333333333334,1,0.35,0.35,2
S64729855,obs1133303,0,FALSE,CO-CAL,L10079498,5.0890114,-75.5333151,Stationary,1,2020-02-18,2020,49,17.216666666666665,0.16666666666666666,0,0,2
S61088300,obs647602,0,FALSE,CO-CAL,L10101226,5.0376453,-75.5656862,Stationary,1,2016-01-20,2016,20,7,3,0,0,2
S65836973,obs821531,1,TRUE,CO-CAL,L10104286,4.9895506,-75.4075314,Stationary,1,2020-03-15,2020,75,15.4,0.6,0,0,1
S64835440,obs1477340,3,TRUE,CO-CAL,L10113824,5.386197,-75.161985,Traveling,1,2020-02-21,2020,52,15.116666666666667,2.683333333333333,6.12,2.280745341614907,2
S66217632,obs1477340,1,TRUE,CO-CAL,L10113824,5.386197,-75.161985,Stationary,1,2020-03-25,2020,85,16.133333333333333,1.5166666666666666,0,0,1
S84673587,obs1496576,0,FALSE,CO-CAL,L10116299,5.319791,-74.829287,Stationary,1,2021-03-29,2021,88,10,0.08333333333333333,0,0,1
