"","checklist_id","observer_id","observation_count","species_observed","state_code","locality_id","latitude","longitude","protocol_type","all_species_reported","observation_date","year","day_of_year","hours_of_day","effort_hours","effort_distance_km","effort_speed_kmph","number_observers","elevation_mean","elevation_sd","ed_c01_barren","pland_c01_barren","ed_c02_snow","pland_c02_snow","ed_c03_water","pland_c03_water","ed_c11_evergreen_needleleaf","pland_c11_evergreen_needleleaf","ed_c12_evergreen_broadleaf","pland_c12_evergreen_broadleaf","ed_c13_deciduous_needleleaf","pland_c13_deciduous_needleleaf","ed_c14_deciduous_broadlead","pland_c14_deciduous_broadlead","ed_c15_mixed_broadleaf_needleleaf","pland_c15_mixed_broadleaf_needleleaf","ed_c16_mixed_broadleaf_deciduous","pland_c16_mixed_broadleaf_deciduous","ed_c21_open_forests","pland_c21_open_forests","ed_c22_sparse_forests","pland_c22_sparse_forests","ed_c31_dense_herbaceous","pland_c31_dense_herbaceous","ed_c32_sparse_herbaceous","pland_c32_sparse_herbaceous","ed_c41_dense_shrublands","pland_c41_dense_shrublands","ed_c42_shrubland_grassland","pland_c42_shrubland_grassland","ed_c43_sparse_shrublands","pland_c43_sparse_shrublands","ed_c255_unclassified","pland_c255_unclassified"
"1","S63442515","obs1321753",0,FALSE,"CO-CAL","L10016781",5.3310154,-74.9223842,"Traveling",1,2020-01-16,2020,16,7.05,0.85,0.49,0.576470588235294,1,957.260559082031,76.9055252075195,0,0,0,0,0,0,0,0,1.87684297532065,2.17391304347826,0,0,0,0,0,0,0,0,2.81526446298097,95.6521739130435,0.938421487660324,2.17391304347826,0,0,0,0,0,0,0,0,0,0,0,0
"2","S62967986","obs1414571",1,TRUE,"CO-CAL","L10030232",5.0360603,-75.5351733,"Stationary",1,2020-01-03,2020,3,1,2.5,0,0,1,1784.49133300781,85.2817230224609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.16131818213176,78.2608695652174,5.16131818213176,21.7391304347826,0,0,0,0,0,0,0,0,0,0,0,0
"3","S64532423","obs669195",0,FALSE,"CO-CAL","L10039067",5.1143896,-75.5062702,"Stationary",1,2020-02-15,2020,46,17.35,0.583333333333333,0,0,1,1803.02941894531,164.574920654297,0,0,0,0,0,0,0,0,7.19456473872912,24.4444444444444,0,0,0,0,0,0,0,0,7.19456473872912,75.5555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","S101156697","obs1080154",0,FALSE,"CO-CAL","L10050170",5.476868,-74.6690378,"Stationary",1,2022-01-21,2022,21,15.5166666666667,1.13333333333333,0,0,2,174.427352905273,6.0864429473877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95927529849722,2.22222222222222,7.19456473872907,86.6666666666667,6.23528944023185,11.1111111111111,0,0,0,0,0,0,0,0,0,0
"5","S62939007","obs669195",0,FALSE,"CO-CAL","L10067922",5.0683641,-75.4744504,"Stationary",1,2020-01-02,2020,2,20.75,0.0333333333333333,0,0,1,2194.87451171875,62.1584434509277,0,0,0,0,0,0,0,0,4.85633119864169,15,0,0,0,0,0,0,0,0,9.17307004187876,57.5,4.31673884323708,27.5,0,0,0,0,0,0,0,0,0,0,0,0
"6","S64679695","obs1133303",3,TRUE,"CO-CAL","L10079498",5.0890114,-75.5333151,"Traveling",1,2020-02-17,2020,48,17.0833333333333,1,0.1,0.1,2,1878.23657226562,105.678092956543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.50737190128249,78.2608695652174,7.50737190128249,21.7391304347826,0,0,0,0,0,0,0,0,0,0,0,0
"7","S83920621","obs397020",0,FALSE,"CO-CAL","L10079498",5.0890114,-75.5333151,"Stationary",1,2021-03-22,2021,81,17.7666666666667,0.333333333333333,0,0,2,1878.23657226562,105.678092956543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.50737190128249,78.2608695652174,7.50737190128249,21.7391304347826,0,0,0,0,0,0,0,0,0,0,0,0
"8","S66237466","obs397020",5,TRUE,"CO-CAL","L10079498",5.0890114,-75.5333151,"Traveling",1,2020-03-21,2020,81,7.78333333333333,0.616666666666667,0.32,0.518918918918919,1,1878.23657226562,105.678092956543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.50737190128249,78.2608695652174,7.50737190128249,21.7391304347826,0,0,0,0,0,0,0,0,0,0,0,0
"9","S63828030","obs1133303",0,FALSE,"CO-CAL","L10079498",5.0890114,-75.5333151,"Stationary",1,2020-01-25,2020,25,19.5,0.166666666666667,0,0,2,1878.23657226562,105.678092956543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.50737190128249,78.2608695652174,7.50737190128249,21.7391304347826,0,0,0,0,0,0,0,0,0,0,0,0
"10","S82589136","obs397020",0,FALSE,"CO-CAL","L10079498",5.0890114,-75.5333151,"Stationary",1,2021-03-01,2021,60,13.5833333333333,0.0666666666666667,0,0,2,1878.23657226562,105.678092956543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.50737190128249,78.2608695652174,7.50737190128249,21.7391304347826,0,0,0,0,0,0,0,0,0,0,0,0
"11","S64729987","obs1133303",3,TRUE,"CO-CAL","L10079498",5.0890114,-75.5333151,"Traveling",1,2020-02-18,2020,49,6.81666666666667,2.48333333333333,0.63,0.253691275167785,2,1878.23657226562,105.678092956543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.50737190128249,78.2608695652174,7.50737190128249,21.7391304347826,0,0,0,0,0,0,0,0,0,0,0,0
"12","S64729927","obs1133303",0,FALSE,"CO-CAL","L10079498",5.0890114,-75.5333151,"Stationary",1,2020-02-18,2020,49,19.2833333333333,0.0333333333333333,0,0,2,1878.23657226562,105.678092956543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.50737190128249,78.2608695652174,7.50737190128249,21.7391304347826,0,0,0,0,0,0,0,0,0,0,0,0
"13","S64754986","obs1133303",7,TRUE,"CO-CAL","L10079498",5.0890114,-75.5333151,"Traveling",1,2020-02-19,2020,50,6.36666666666667,3.6,0.58,0.161111111111111,2,1878.23657226562,105.678092956543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.50737190128249,78.2608695652174,7.50737190128249,21.7391304347826,0,0,0,0,0,0,0,0,0,0,0,0
"14","S66236051","obs397020",2,TRUE,"CO-CAL","L10079498",5.0890114,-75.5333151,"Traveling",1,2020-03-26,2020,86,7.3,1.96666666666667,0.63,0.320338983050847,2,1878.23657226562,105.678092956543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.50737190128249,78.2608695652174,7.50737190128249,21.7391304347826,0,0,0,0,0,0,0,0,0,0,0,0
"15","S66237340","obs397020",5,TRUE,"CO-CAL","L10079498",5.0890114,-75.5333151,"Traveling",1,2020-03-20,2020,80,6.38333333333333,1,0.35,0.35,2,1878.23657226562,105.678092956543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.50737190128249,78.2608695652174,7.50737190128249,21.7391304347826,0,0,0,0,0,0,0,0,0,0,0,0
"16","S64729855","obs1133303",0,FALSE,"CO-CAL","L10079498",5.0890114,-75.5333151,"Stationary",1,2020-02-18,2020,49,17.2166666666667,0.166666666666667,0,0,2,1878.23657226562,105.678092956543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.50737190128249,78.2608695652174,7.50737190128249,21.7391304347826,0,0,0,0,0,0,0,0,0,0,0,0
"17","S61088300","obs647602",0,FALSE,"CO-CAL","L10101226",5.0376453,-75.5656862,"Stationary",1,2016-01-20,2016,20,7,3,0,0,2,1374.42016601562,79.4039001464844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.21145252998779,90.2439024390244,4.21145252998779,9.75609756097561,0,0,0,0,0,0,0,0,0,0,0,0
"18","S65836973","obs821531",1,TRUE,"CO-CAL","L10104286",4.9895506,-75.4075314,"Stationary",1,2020-03-15,2020,75,15.4,0.6,0,0,1,2817.7880859375,123.959442138672,0,0,0,0,0,0,0,0,9.11311533572366,75.5555555555556,0,0,0,0,0,0,0,0,9.11311533572366,24.4444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","S64835440","obs1477340",3,TRUE,"CO-CAL","L10113824",5.386197,-75.161985,"Traveling",1,2020-02-21,2020,52,15.1166666666667,2.68333333333333,6.12,2.28074534161491,2,2173.57153320312,154.442443847656,0,0,0,0,0,0,0,0,2.34605371915083,6.52173913043478,0,0,0,0,0,0,0,0,7.97658264511278,80.4347826086957,5.63052892596194,13.0434782608696,0,0,0,0,0,0,0,0,0,0,0,0
"20","S66217632","obs1477340",1,TRUE,"CO-CAL","L10113824",5.386197,-75.161985,"Stationary",1,2020-03-25,2020,85,16.1333333333333,1.51666666666667,0,0,1,2173.57153320312,154.442443847656,0,0,0,0,0,0,0,0,2.34605371915083,6.52173913043478,0,0,0,0,0,0,0,0,7.97658264511278,80.4347826086957,5.63052892596194,13.0434782608696,0,0,0,0,0,0,0,0,0,0,0,0
"21","S84673587","obs1496576",0,FALSE,"CO-CAL","L10116299",5.319791,-74.829287,"Stationary",1,2021-03-29,2021,88,10,0.0833333333333333,0,0,1,313.116424560547,45.6331329345703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.52141014832705,79.0697674418605,5.52141014832705,20.9302325581395,0,0,0,0,0,0,0,0,0,0,0,0
"22","S102308461","obs1496576",0,FALSE,"CO-CAL","L10116299",5.319791,-74.829287,"Traveling",1,2022-01-04,2022,4,7.5,2.98333333333333,1.52,0.509497206703911,1,313.116424560547,45.6331329345703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.52141014832705,79.0697674418605,5.52141014832705,20.9302325581395,0,0,0,0,0,0,0,0,0,0,0,0
"23","S61250519","obs1317617",0,FALSE,"CO-CAL","L10124536",5.1038053,-75.4827368,"Stationary",1,2019-01-07,2019,7,16,1.5,0,0,1,2198.015625,91.880729675293,0,0,0,0,0,0,0,0,6.59501767716778,36.1111111111111,0,0,0,0,0,0,0,0,6.59501767716778,63.8888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","S61260981","obs1317617",NA,TRUE,"CO-CAL","L10124536",5.1038053,-75.4827368,"Traveling",1,2019-01-08,2019,8,7,3.5,2.5,0.714285714285714,4,2198.015625,91.880729675293,0,0,0,0,0,0,0,0,6.59501767716778,36.1111111111111,0,0,0,0,0,0,0,0,6.59501767716778,63.8888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","S66092552","obs1236380",0,FALSE,"CO-CAL","L10133603",5.0632547,-75.8830633,"Traveling",1,2020-03-22,2020,82,8.08333333333333,4.11666666666667,4.27,1.03724696356275,1,1005.58221435547,39.0101661682129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9954706156071,72.2222222222222,5.9954706156071,27.7777777777778,0,0,0,0,0,0,0,0,0,0,0,0
"26","S66021474","obs1236380",0,FALSE,"CO-CAL","L10133603",5.0632547,-75.8830633,"Traveling",1,2020-03-20,2020,80,17.75,0.666666666666667,0.55,0.825,1,1005.58221435547,39.0101661682129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9954706156071,72.2222222222222,5.9954706156071,27.7777777777778,0,0,0,0,0,0,0,0,0,0,0,0
"27","S65223196","obs1236380",0,FALSE,"CO-CAL","L10133603",5.0632547,-75.8830633,"Traveling",1,2020-02-27,2020,58,17.7,0.6,0.28,0.466666666666667,1,1005.58221435547,39.0101661682129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9954706156071,72.2222222222222,5.9954706156071,27.7777777777778,0,0,0,0,0,0,0,0,0,0,0,0
"28","S65292976","obs1236380",0,FALSE,"CO-CAL","L10133603",5.0632547,-75.8830633,"Traveling",1,2020-02-29,2020,60,16.9166666666667,1.45,1.17,0.806896551724138,1,1005.58221435547,39.0101661682129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9954706156071,72.2222222222222,5.9954706156071,27.7777777777778,0,0,0,0,0,0,0,0,0,0,0,0
"29","S65989930","obs1236380",0,FALSE,"CO-CAL","L10133603",5.0632547,-75.8830633,"Traveling",1,2020-03-19,2020,79,17.6666666666667,1,0.97,0.97,1,1005.58221435547,39.0101661682129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9954706156071,72.2222222222222,5.9954706156071,27.7777777777778,0,0,0,0,0,0,0,0,0,0,0,0
"30","S65879549","obs1236380",0,FALSE,"CO-CAL","L10133603",5.0632547,-75.8830633,"Traveling",1,2020-03-16,2020,76,17.7166666666667,0.75,0.72,0.96,1,1005.58221435547,39.0101661682129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9954706156071,72.2222222222222,5.9954706156071,27.7777777777778,0,0,0,0,0,0,0,0,0,0,0,0
"31","S64923800","obs1236380",0,FALSE,"CO-CAL","L10133603",5.0632547,-75.8830633,"Traveling",1,2020-02-23,2020,54,16.7833333333333,1.63333333333333,1.69,1.03469387755102,1,1005.58221435547,39.0101661682129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9954706156071,72.2222222222222,5.9954706156071,27.7777777777778,0,0,0,0,0,0,0,0,0,0,0,0
"32","S62905165","obs1025697",0,FALSE,"CO-CAL","L10170475",5.4425585,-75.6927229,"Stationary",1,2020-01-02,2020,2,8.26666666666667,1.25,0,0,1,1616.67956542969,123.55785369873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.31673884323749,85,4.31673884323749,15,0,0,0,0,0,0,0,0,0,0,0,0
"33","S62874424","obs1025697",0,FALSE,"CO-CAL","L10170475",5.4425585,-75.6927229,"Stationary",1,2020-01-01,2020,1,15.1666666666667,0.9,0,0,1,1616.67956542969,123.55785369873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.31673884323749,85,4.31673884323749,15,0,0,0,0,0,0,0,0,0,0,0,0
"34","S62845050","obs1025697",0,FALSE,"CO-CAL","L10170475",5.4425585,-75.6927229,"Stationary",1,2020-01-01,2020,1,9.88333333333333,0.616666666666667,0,0,1,1616.67956542969,123.55785369873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.31673884323749,85,4.31673884323749,15,0,0,0,0,0,0,0,0,0,0,0,0
"35","S62948574","obs729770",0,FALSE,"CO-CAL","L10179631",5.0576242,-75.4598412,"Traveling",1,2020-01-03,2020,3,7.61666666666667,0.616666666666667,2.36,3.82702702702703,1,2267.58544921875,69.4808502197266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99773530780355,91.6666666666667,2.99773530780355,8.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0
"36","S65314058","obs729770",1,TRUE,"CO-CAL","L10179631",5.0576242,-75.4598412,"Traveling",1,2020-03-01,2020,61,7.66666666666667,2.68333333333333,6.94,2.58633540372671,1,2267.58544921875,69.4808502197266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99773530780355,91.6666666666667,2.99773530780355,8.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0
"37","S63982316","obs729770",0,FALSE,"CO-CAL","L10179631",5.0576242,-75.4598412,"Traveling",1,2020-01-31,2020,31,17.7833333333333,0.533333333333333,2.81,5.26875,1,2267.58544921875,69.4808502197266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99773530780355,91.6666666666667,2.99773530780355,8.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0
"38","S80679680","obs914933",0,FALSE,"CO-CAL","L10195057",4.9510867,-75.6146917,"Traveling",1,2021-02-02,2021,33,7.4,1.35,4.11,3.04444444444444,1,1486.73791503906,57.2024078369141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
