scientificName,taxon,kingdom,earliestEventDate,earliestLocation,earliestISO3,totalCountryCount,habitat,establishmentMeans,isInvasiveAnywhere,originalDatabase
"Abbottina rivularis (Basilewsky, 1855)",Abbottina rivularis,Animalia,1958,Kazakhstan,KAZ,6,brackish; freshwater,introduced,TRUE,FirstRecords; GRIIS
Abelmoschus moschatus (L.) Medik.,Abelmoschus moschatus,Plantae,NA,NA,NA,16,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Abies alba Mill.,Abies alba,Plantae,1500,United Kingdom,GBR,10,freshwater; terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; TrIAS; FirstRecords; GRIIS
Abies concolor (Gordon) Lindl. ex Hildebr.,Abies concolor,Plantae,1856,Denmark,DNK,6,terrestrial,introduced,TRUE,FirstRecords; GRIIS; Artsdatabanken
Abies lasiocarpa (Hook.) Nutt.,Abies lasiocarpa,Plantae,1890,Norway,NOR,4,terrestrial,introduced,TRUE,SINAS; FirstRecords; GRIIS; Artsdatabanken
"Ablerus clisiocampae (Ashmead, 1894)",Ablerus clisiocampae,Animalia,1953,France,FRA,1,terrestrial,introduced,TRUE,FirstRecords; GRIIS
"Abramis brama (Linnaeus, 1758)",Abramis brama,Animalia,1600,Ireland,IRL,10,brackish; freshwater,introduced,TRUE,FirstRecords; GRIIS
Abrus precatorius L.,Abrus precatorius,Plantae,1843,Australia,AUS,25,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,SINAS; USRIIS; FirstRecords; GRIIS
Abutilon grandiflorum G.Don,Abutilon grandiflorum,Plantae,1928,Australia,AUS,3,terrestrial,introduced,TRUE,FirstRecords; GRIIS; M.McGeoch_AUS_2025
Abutilon grandifolium (Willd.) Sweet,Abutilon grandifolium,Plantae,1868,Portugal,PRT,12,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Abutilon hirtum (Lam.) Sweet,Abutilon hirtum,Plantae,1879,Panama,PAN,5,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,CABI; USRIIS; FirstRecords; GRIIS
Abutilon indicum (L.) Sweet,Abutilon indicum,Plantae,1853,Japan,JPN,15,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,SINAS; USRIIS; FirstRecords; GRIIS
Abutilon theophrasti Medik.,Abutilon theophrasti,Plantae,657,China,CHN,49,freshwater; terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; TrIAS; FirstRecords; GRIIS; InstytutOchronyPrzyrody
Acacia aulacocarpa A.Cunn. ex Benth.,Acacia aulacocarpa,Plantae,NA,NA,NA,2,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Acacia auriculiformis A. Cunn. ex Benth.; Acacia auriculiformis A.Cunn. ex Benth.,Acacia auriculiformis,Plantae,1890,Singapore,SGP,42,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Acacia baileyana F. Muell.; Acacia baileyana F.Muell.,Acacia baileyana,Plantae,1916,South Africa,ZAF,9,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Acacia colei Maslin & L.A.J.Thomson,Acacia colei,Plantae,NA,NA,NA,2,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Acacia confusa Merr.,Acacia confusa,Plantae,1923,United States,USA,9,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Acacia crassicarpa A.Cunn. ex Benth.,Acacia crassicarpa,Plantae,NA,NA,NA,2,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Acacia cyclops A. Cunn. ex G. Don; Acacia cyclops A.Cunn. ex G.Don,Acacia cyclops,Plantae,1839,South Africa,ZAF,19,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Acacia dealbata Link,Acacia dealbata,Plantae,1500,Italy,ITA,29,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; FirstRecords; GRIIS
Acacia decurrens Willd.,Acacia decurrens,Plantae,1866,Indonesia,IDN,20,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Acacia elata A. Cunn. ex Benth.; Acacia elata A.Cunn. ex Benth.,Acacia elata,Plantae,1937,South Africa,ZAF,4,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Acacia longifolia (Andrews) Willd.,Acacia longifolia,Plantae,1500,Italy,ITA,20,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; FirstRecords; GRIIS
Acacia mangium Willd.,Acacia mangium,Plantae,1878,Indonesia,IDN,34,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Acacia mearnsii De Wild.,Acacia mearnsii,Plantae,1500,Italy,ITA,34,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; FirstRecords; GRIIS
Acacia melanoxylon R. Br.; Acacia melanoxylon R.Br.,Acacia melanoxylon,Plantae,1500,United Kingdom,GBR,36,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; FirstRecords; GRIIS
Acacia paradoxa DC.,Acacia paradoxa,Plantae,1858,South Africa,ZAF,7,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Acacia podalyriifolia A. Cunn. ex G. Don; Acacia podalyriifolia A.Cunn. ex G.Don,Acacia podalyriifolia,Plantae,1912,Australia,AUS,12,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,SINAS; USRIIS; FirstRecords; GRIIS
Acacia provincialis A.Camus,Acacia provincialis,Plantae,NA,NA,NA,1,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Acacia pycnantha Benth.,Acacia pycnantha,Plantae,1500,Italy,ITA,8,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; FirstRecords; GRIIS
Acacia retinodes Schltdl.,Acacia retinodes,Plantae,1500,Italy,ITA,9,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; FirstRecords; GRIIS
Acacia salicina Lindl.,Acacia salicina,Plantae,1993,Zimbabwe,ZWE,3,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Acacia saligna (Labill.) H.L. Wendl.; Acacia saligna (Labill.) H.L.Wendl.,Acacia saligna,Plantae,1500,Italy,ITA,43,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; FirstRecords; GRIIS
Acacia sclerosperma F.Muell.,Acacia sclerosperma,Plantae,NA,NA,NA,1,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Acacia stricta (Andrews) Willd.,Acacia stricta,Plantae,1920,Australia,AUS,2,terrestrial,introduced,TRUE,SINAS; FirstRecords; GRIIS
Acacia verticillata (L'Her.) Willd.,Acacia verticillata,Plantae,1862,Portugal,PRT,4,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Acacia victoriae Benth.,Acacia victoriae,Plantae,NA,NA,NA,1,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Acaciella glauca (L.) L.Rico,Acaciella glauca,Plantae,NA,NA,NA,5,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Acaena novae-zelandiae Kirk,Acaena novae-zelandiae,Plantae,1500,United Kingdom,GBR,5,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; FirstRecords; GRIIS
Acalypha australis L.,Acalypha australis,Plantae,1500,Italy,ITA,11,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; FirstRecords; GRIIS
Acalypha ciliata Forssk.,Acalypha ciliata,Plantae,NA,NA,NA,2,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Acalypha indica L.,Acalypha indica,Plantae,1894,Mexico,MEX,13,terrestrial,introduced,TRUE,TrIAS; FirstRecords; GRIIS
Acalypha lanceolata Willd.,Acalypha lanceolata,Plantae,NA,NA,NA,10,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Acalypha virginica L.,Acalypha virginica,Plantae,1500,Bulgaria,BGR,8,terrestrial,introduced,TRUE,DAISIE; FirstRecords; GRIIS
"Acanthaster planci (Linnaeus, 1758)",Acanthaster planci,Animalia,NA,NA,NA,1,terrestrial,introduced,TRUE,GRIIS
"Acanthobrama lissneri Tortonese, 1952",Acanthobrama lissneri,Animalia,NA,NA,NA,1,freshwater,introduced,TRUE,FirstRecords; GRIIS
Acanthocereus tetragonus (L.) Hummelinck,Acanthocereus tetragonus,Plantae,1843,Australia,AUS,7,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
"Acanthogobius flavimanus (Temminck and Schlegel, 1845); Acanthogobius flavimanus (Temminck & Schlegel, 1845)",Acanthogobius flavimanus,Animalia,1963,United States,USA,4,brackish; freshwater; marine,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
"Acanthophis praelongus Ramsay, 1877",Acanthophis praelongus,Animalia,NA,NA,NA,1,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Acanthophora spicifera (Vahl) Borgesen,Acanthophora spicifera,Plantae,1952,United States,USA,1,brackish; marine; terrestrial,"introduced (alien, exotic, non-native, nonindigenous)",TRUE,USRIIS
"Acanthoscelides obtectus (Say, 1831)",Acanthoscelides obtectus,Animalia,1831,United States,USA,23,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS; InstytutOchronyPrzyrody
Acanthospermum australe (Loefl.) Kuntze,Acanthospermum australe,Plantae,1820,China,CHN,17,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,SINAS; USRIIS; FirstRecords; GRIIS
