"","X","Cam.Site","scientificName","vernacularName","eventDate","eventTime","organismQuantity","class","order","family","genus","filename"
"67",67,"Platanillo1_2178","Cuniculus paca","Guagua","22/07/2019","12:39",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo1_2178_01060025.JPG"
"68",68,"Platanillo2_2180","Cuniculus paca","Guagua","26/07/2019","19:13",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo2_2180_07260113.JPG"
"69",69,"Platanillo2_2180","Cuniculus paca","Guagua","26/07/2019","19:13",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo2_2180_07260114.JPG"
"70",70,"Platanillo2_2180","Cuniculus paca","Guagua","26/07/2019","19:13",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo2_2180_07260115.JPG"
"71",71,"Platanillo2_2180","Cuniculus paca","Guagua","6/08/2019","18:59",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo2_2180_08060157.JPG"
"72",72,"Platanillo2_2180","Cuniculus paca","Guagua","6/08/2019","18:59",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo2_2180_08060158.JPG"
"73",73,"Platanillo2_2180","Cuniculus paca","Guagua","6/08/2019","18:59",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo2_2180_08060159.JPG"
"74",74,"Platanillo2_2180","Cuniculus paca","Guagua","1/09/2019","23:03",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo2_2180_09010213.JPG"
"75",75,"Platanillo2_2180","Cuniculus paca","Guagua","1/09/2019","23:03",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo2_2180_09010214.JPG"
"76",76,"Platanillo2_2180","Cuniculus paca","Guagua","1/09/2019","23:03",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo2_2180_09010215.JPG"
"77",77,"Platanillo3_3309","Cuniculus paca","Guagua","12/07/2019","19:29",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo3_3309_07120007.JPG"
"78",78,"Platanillo3_3309","Cuniculus paca","Guagua","14/07/2019","4:00",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo3_3309_07140018.JPG"
"79",79,"Platanillo3_3309","Cuniculus paca","Guagua","18/07/2019","19:05",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo3_3309_07180025.JPG"
"80",80,"Platanillo3_3309","Cuniculus paca","Guagua","27/07/2019","4:42",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo3_3309_07270094.JPG"
"81",81,"Platanillo3_3309","Cuniculus paca","Guagua","30/07/2019","4:30",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo3_3309_07300100.JPG"
"82",82,"Platanillo3_3309","Cuniculus paca","Guagua","31/07/2019","19:52",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo3_3309_07310109.JPG"
"83",83,"Platanillo3_3309","Cuniculus paca","Guagua","18/08/2019","19:10",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo3_3309_08180199.JPG"
"84",84,"Platanillo3_3309","Cuniculus paca","Guagua","20/08/2019","20:09",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo3_3309_08200205.JPG"
"85",85,"Platanillo3_3309","Cuniculus paca","Guagua","21/08/2019","0:26",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo3_3309_08210208.JPG"
"86",86,"Platanillo3_3309","Cuniculus paca","Guagua","25/08/2019","1:04",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo3_3309_08250220.JPG"
"87",87,"Platanillo3_3309","Cuniculus paca","Guagua","27/08/2019","0:56",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo3_3309_08270226.JPG"
"88",88,"Platanillo3_3309","Cuniculus paca","Guagua","28/08/2019","22:43",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo3_3309_08280232.JPG"
"89",89,"Platanillo3_3309","Cuniculus paca","Guagua","29/08/2019","19:43",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo3_3309_08290235.JPG"
"90",90,"Platanillo1_3310","Cuniculus paca","Guagua","30/07/2019","9:15",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo1_3310_01140025.JPG"
"91",91,"Platanillo2_3312","Cuniculus paca","Guagua","22/07/2019","1:59",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo2_3312_07220013.JPG"
"92",92,"Platanillo2_3312","Cuniculus paca","Guagua","26/07/2019","22:22",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo2_3312_07260025.JPG"
"93",93,"Platanillo2_3312","Cuniculus paca","Guagua","14/08/2019","21:09",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo2_3312_08140117.JPG"
"94",94,"Platanillo2_3312","Cuniculus paca","Guagua","15/08/2019","19:41",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo2_3312_08150118.JPG"
"95",95,"Platanillo2_3312","Cuniculus paca","Guagua","20/08/2019","19:40",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo2_3312_08200133.JPG"
"96",96,"Platanillo2_3312","Cuniculus paca","Guagua","25/08/2019","19:00",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo2_3312_08250163.JPG"
"97",97,"Platanillo1_3315","Cuniculus paca","Guagua","29/07/2019","1:13",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo1_3315_07290253.JPG"
"98",98,"Platanillo2_3319","Cuniculus paca","Guagua","16/07/2019","7:56",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo2_3319_01020001.JPG"
"99",99,"Platanillo2_3319","Cuniculus paca","Guagua","16/07/2019","11:45",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo2_3319_01020004.JPG"
"100",100,"Platanillo2_3319","Cuniculus paca","Guagua","20/07/2019","14:01",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo2_3319_01060040.JPG"
"101",101,"Platanillo2_3319","Cuniculus paca","Guagua","31/07/2019","15:41",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo2_3319_01170067.JPG"
"102",102,"Platanillo2_3319","Cuniculus paca","Guagua","1/08/2019","16:07",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo2_3319_01180075.JPG"
