"run1"	"run2"	"id"	"scientific_name"	"lon"	"lat"	"pa"	"bio2"	"bio4"
0	0	3759312902	"Glyptemys insculpta"	-830896.790642102	-441422.063366995	1	100	8499
0	1	3759336078	"Glyptemys insculpta"	-316116.063946462	-181529.089589948	1	86	9040
1	0	3759376843	"Glyptemys insculpta"	-872257.422105426	-462792.287102444	1	101	8458
0	0	3759451583	"Glyptemys insculpta"	-318908.66218997	-202719.448654324	1	92	8817
0	0	3759468758	"Glyptemys insculpta"	-875853.314515871	-447900.03818724	1	104	8439
1	0	3759526959	"Glyptemys insculpta"	-361455.543784683	36287.4205918168	1	92	9214
0	0	3759672639	"Glyptemys insculpta"	-866077.062812662	-453287.513735083	1	101	8563
0	1	3759727966	"Glyptemys insculpta"	-868749.798871183	-462536.196954046	1	101	8491
1	1	3759732801	"Glyptemys insculpta"	-875619.746697764	-451449.07917875	1	103	8552
0	1	3759997649	"Glyptemys insculpta"	-687087.577349508	-336533.354749465	1	92	8685
0	0	3760041644	"Glyptemys insculpta"	-871168.263447619	-463575.401107545	1	101	8549
0	1	3760256658	"Glyptemys insculpta"	-872464.669915302	-462007.327940823	1	101	8422
0	0	3760304972	"Glyptemys insculpta"	-869925.822134077	-447967.12426616	1	103	8595
0	0	3760350209	"Glyptemys insculpta"	-878518.707608383	-450059.473287098	1	103	8498
0	0	3764101228	"Glyptemys insculpta"	-353926.565780836	-57640.301914465	1	94	9056
1	0	3764206497	"Glyptemys insculpta"	-289697.087187336	-145454.980208482	1	93	9086
1	0	3764218524	"Glyptemys insculpta"	-1226208.6806017	144571.001789673	1	83	9701
1	1	3764379116	"Glyptemys insculpta"	-1368672.94343299	130652.113552584	1	91	9407
0	0	3764473547	"Glyptemys insculpta"	-1228327.8716059	148129.668855584	1	87	9585
1	1	3764475799	"Glyptemys insculpta"	-747080.425691246	-351847.416395681	1	94	8672
0	0	3772427568	"Glyptemys insculpta"	-880670.142118243	-460610.971895202	1	102	8563
1	0	3772606704	"Glyptemys insculpta"	-867967.773349647	-456702.897008423	1	101	8563
1	0	3773369749	"Glyptemys insculpta"	-889855.187743241	-431143.180381316	1	108	8607
0	0	3784649723	"Glyptemys insculpta"	-692279.834914378	-279291.035543795	1	95	9004
0	1	3772677289	"Glyptemys insculpta"	-375991.22788699	54280.7100739966	1	89	9877
1	0	3772846061	"Glyptemys insculpta"	-485488.209087501	-220925.767003169	1	95	9026
1	0	3773001696	"Glyptemys insculpta"	-427882.8356591	-163431.735876649	1	93	9160
1	1	3773049648	"Glyptemys insculpta"	-465798.834431068	-245178.999846433	1	96	8793
1	0	3773110150	"Glyptemys insculpta"	-874462.33824839	-458145.928482299	1	102	8377
1	0	3773565878	"Glyptemys insculpta"	-880872.607281724	-450157.56941998	1	104	8395
0	0	3773567828	"Glyptemys insculpta"	-572666.402160954	-47042.5719283665	1	89	9248
0	0	3773661289	"Glyptemys insculpta"	-875522.269930065	-429913.167353944	1	104	8684
0	0	3773758830	"Glyptemys insculpta"	-566251.449889878	-59857.6092483497	1	89	9378
0	0	3784675507	"Glyptemys insculpta"	-198590.456742849	-36717.5497112249	1	92	9464
1	0	3784704718	"Glyptemys insculpta"	-870360.360241899	-458644.957967873	1	101	8544
0	0	3784748704	"Glyptemys insculpta"	-407893.953652692	-264178.923863343	1	88	8799
0	1	3784758819	"Glyptemys insculpta"	-324662.486640001	-76904.6810583552	1	98	9532
0	1	3784790697	"Glyptemys insculpta"	-739726.344281554	-339748.968178672	1	94	8824
0	0	3784795968	"Glyptemys insculpta"	-803581.850236613	-289289.4001102	1	94	8778
1	0	3784894865	"Glyptemys insculpta"	-874934.119787469	-462460.484488632	1	101	8475
1	1	3784898649	"Glyptemys insculpta"	-875323.780746029	-466748.876808519	1	101	8518
0	1	3784975112	"Glyptemys insculpta"	-713569.655975701	-356160.472957288	1	93	8761
0	0	3785154669	"Glyptemys insculpta"	-923690.787500329	-303669.318818808	1	92	8450
0	0	3785164339	"Glyptemys insculpta"	-314437.611420254	-25318.4341559944	1	97	9653
1	0	3802308145	"Glyptemys insculpta"	-20301.4034119557	203166.978846344	1	85	10210
1	0	3802316001	"Glyptemys insculpta"	-12116.3364399728	201614.126296876	1	88	10228
0	1	3802363823	"Glyptemys insculpta"	-18973.6100980153	209689.676129714	1	87	9949
1	0	3802386763	"Glyptemys insculpta"	-770028.470500616	-348679.52386204	1	95	8648
1	1	3802409166	"Glyptemys insculpta"	-471882.95143151	-227583.841601827	1	97	8863
0	0	3802462515	"Glyptemys insculpta"	-418741.254941984	-142637.053417083	1	92	9171
0	0	3802490511	"Glyptemys insculpta"	-522895.86396039	-324629.071841037	1	93	8677
0	1	3802696178	"Glyptemys insculpta"	-680412.301513899	-274989.417964585	1	93	8832
0	0	3858333821	"Glyptemys insculpta"	-306168.328948605	-213705.861937421	1	94	8661
0	0	3858335424	"Glyptemys insculpta"	-294174.129944978	-50917.5407583551	1	97	9432
1	1	3858394493	"Glyptemys insculpta"	-868712.115434626	-418789.132107869	1	101	8620
0	1	3858478639	"Glyptemys insculpta"	-1311622.44419747	149075.912325597	1	93	9379
1	0	3858554504	"Glyptemys insculpta"	-547530.160193699	-319522.433702659	1	94	8820
0	0	3858587486	"Glyptemys insculpta"	-273501.89041173	-112454.279263763	1	94	9280
0	0	3858594635	"Glyptemys insculpta"	-854004.210798714	-415471.699379828	1	99	8635
1	0	3858646046	"Glyptemys insculpta"	-406464.249339514	62557.0164254499	1	89	9755
0	0	3858706958	"Glyptemys insculpta"	-1226020.93548701	246384.881523227	1	96	9594
0	0	3858772924	"Glyptemys insculpta"	-1388524.76558787	158329.371026437	1	91	9383
0	0	3858850041	"Glyptemys insculpta"	-1386403.11822933	200390.086760291	1	79	9348
0	0	3858870563	"Glyptemys insculpta"	-290037.093033136	-147602.529504544	1	93	9118
0	0	3859193889	"Glyptemys insculpta"	-709675.85627368	-286151.683953551	1	96	9013
1	1	3859292980	"Glyptemys insculpta"	-357390.99307589	-182140.045077604	1	94	9021
1	0	3859390050	"Glyptemys insculpta"	-560881.402143628	-284556.226022684	1	90	8690
0	1	3859401093	"Glyptemys insculpta"	-650136.992111411	-134576.558861834	1	89	8864
0	0	3859407755	"Glyptemys insculpta"	-1213630.7161288	251843.29530344	1	97	9653
1	0	3859423477	"Glyptemys insculpta"	-288744.891567468	-23140.2575124474	1	97	9549
0	1	3859520748	"Glyptemys insculpta"	-1626416.06908214	530891.972577938	1	75	10239
0	0	3859538440	"Glyptemys insculpta"	-290729.763900672	-33597.2989722419	1	97	9613
1	1	3859543734	"Glyptemys insculpta"	-1303021.24338014	141454.061257643	1	93	9327
0	0	3859744895	"Glyptemys insculpta"	-1229783.64391344	224177.794309127	1	95	9484
1	0	3859934697	"Glyptemys insculpta"	-1317641.28721666	144905.158148976	1	93	9444
0	0	3860040625	"Glyptemys insculpta"	-393105.382023385	-110426.079705034	1	91	9563
0	1	3860089621	"Glyptemys insculpta"	-1316677.11487833	129248.589024091	1	93	9466
0	0	3860130999	"Glyptemys insculpta"	-1724122.34294802	627390.154432203	1	67	10256
1	0	3860153736	"Glyptemys insculpta"	-1312075.96424479	131701.285808616	1	94	9453
1	1	3860207916	"Glyptemys insculpta"	-1219762.35564233	256794.967815678	1	97	9656
0	0	3860212008	"Glyptemys insculpta"	-1224682.53708238	261250.212590647	1	97	9666
1	1	3860224989	"Glyptemys insculpta"	-1229514.5298199	248869.540298917	1	95	9625
0	1	3860240995	"Glyptemys insculpta"	-1216992.32397076	262503.336613819	1	96	9641
0	0	3860257881	"Glyptemys insculpta"	-1216739.59229614	250035.701748265	1	98	9650
1	0	3860268932	"Glyptemys insculpta"	-1218089.40014992	253176.970873837	1	97	9661
1	0	3860276957	"Glyptemys insculpta"	-1215891.69579141	248949.595607228	1	98	9648
0	0	3860370589	"Glyptemys insculpta"	-753869.559632185	-198307.30219587	1	90	8724
