"cv_0","id","scientific_name","lon","lat","pa","bio1","bio12","bio15","bio7","elevation_nad83","bio13"
5,"156364432","Desmognathus ochrophaeus",-968992.902157915,-505614.368430625,"1",2815,14535,192,310,964.088623046875,1633
2,"156429793","Desmognathus ochrophaeus",-882376.623007091,-256622.721138862,"1",2823,12629,175,335,466.764678955078,1399
1,"156434659","Desmognathus ochrophaeus",-432245.083571416,39414.3095381387,"1",2773,11470,153,367,730.484497070312,1134
5,"156436027","Desmognathus ochrophaeus",-799456.049654019,-119392.346197815,"1",2811,10763,197,340,434.047180175781,1155
2,"156443062","Desmognathus ochrophaeus",-975115.196386127,-180824.582445977,"1",2818,12627,179,334,412.715698242188,1323
2,"156443916","Desmognathus ochrophaeus",-656558.098699243,-260475.987974448,"1",2815,14604,138,334,607.441772460938,1450
4,"156445250","Desmognathus ochrophaeus",-1091156.1947094,-645097.032871871,"1",2839,9159,153,305,719.565246582031,996
3,"156446925","Desmognathus ochrophaeus",-994167.955150791,-184040.936412493,"1",2824,11345,180,335,360.512451171875,1188
2,"156448773","Desmognathus ochrophaeus",-959402.801248286,-217511.561218687,"1",2826,11832,174,337,380.489135742188,1290
4,"156451551","Desmognathus ochrophaeus",-984752.303454887,-519151.9850214,"1",2808,15239,167,308,1133.08264160156,1663
2,"156452777","Desmognathus ochrophaeus",-471278.360195225,-195744.51117297,"1",2811,14334,101,344,413.765930175781,1420
3,"156454921","Desmognathus ochrophaeus",-963557.575814411,-464434.276516831,"1",2812,16684,175,310,933.989318847656,1864
1,"156456783","Desmognathus ochrophaeus",-985075.937070506,-518748.833736936,"1",2807,15355,168,308,1148.92858886719,1681
2,"156461456","Desmognathus ochrophaeus",-646295.427384185,-135152.582614287,"1",2806,13115,192,340,514.017639160156,1413
2,"156461810","Desmognathus ochrophaeus",-980822.484957803,-402702.647251767,"1",2829,13658,162,312,639.977722167969,1474
1,"156465085","Desmognathus ochrophaeus",-949900.213453409,-383200.278476728,"1",2837,11422,139,325,478.237945556641,1164
3,"156478384","Desmognathus ochrophaeus",-621371.236531296,-101424.262436062,"1",2811,13260,153,342,476.906402587891,1380
3,"156479896","Desmognathus ochrophaeus",-622881.150475458,-120408.523059702,"1",2809,13048,154,344,473.804992675781,1380
5,"156366337","Desmognathus ochrophaeus",-619640.783241665,-102382.072642965,"1",2811,13430,152,343,450.922332763672,1398
5,"156370058","Desmognathus ochrophaeus",-546602.124520792,-185831.023771157,"1",2801,14726,122,339,605.841125488281,1445
2,"156377854","Desmognathus ochrophaeus",-592572.387008451,-93308.0657209388,"1",2804,13964,139,339,505.829956054688,1429
1,"156379613","Desmognathus ochrophaeus",-665834.381132388,-126488.367433493,"1",2825,9405,201,345,184.521606445312,1023
2,"156381721","Desmognathus ochrophaeus",-788254.391414826,-113972.520344131,"1",2811,10386,220,340,443.551727294922,1134
4,"156382336","Desmognathus ochrophaeus",-623991.691653954,-102235.905694727,"1",2804,12468,156,338,529.355834960938,1300
3,"156384108","Desmognathus ochrophaeus",-492682.48483303,-234566.09989058,"1",2819,13395,117,344,462.452484130859,1275
1,"156386280","Desmognathus ochrophaeus",-902564.571195737,-224401.991691141,"1",2821,13449,183,334,473.015960693359,1477
2,"156387744","Desmognathus ochrophaeus",-944861.537366495,-491964.344951645,"1",2829,10271,200,317,644.28662109375,1163
1,"156393051","Desmognathus ochrophaeus",-464676.166604549,-182505.697658372,"1",2804,15614,113,340,651.040466308594,1563
4,"156393938","Desmognathus ochrophaeus",-570037.254719155,-297118.358262165,"1",2835,12941,127,346,231.788040161133,1259
3,"156394666","Desmognathus ochrophaeus",-861765.548297646,-157412.079008634,"1",2806,13065,164,334,559.524963378906,1346
