"id"	"scientific_name"	"lon"	"lat"
1	"Glyptemys insculpta"	-1609211.93813329	307444.213307746
2	"Glyptemys insculpta"	-1712211.93813329	500444.213307746
3	"Glyptemys insculpta"	-724211.938133287	-380555.786692254
4	"Glyptemys insculpta"	-903211.938133287	132444.213307746
5	"Glyptemys insculpta"	-871211.938133287	281444.213307746
6	"Glyptemys insculpta"	-1044211.93813329	-73555.786692254
7	"Glyptemys insculpta"	-466211.938133287	440444.213307746
8	"Glyptemys insculpta"	-115211.938133287	289444.213307746
9	"Glyptemys insculpta"	-546211.938133287	-166555.786692254
10	"Glyptemys insculpta"	-724211.938133287	116444.213307746
11	"Glyptemys insculpta"	-955211.938133287	214444.213307746
12	"Glyptemys insculpta"	-243211.938133287	104444.213307746
13	"Glyptemys insculpta"	-204211.938133287	202444.213307746
14	"Glyptemys insculpta"	-1920211.93813329	360444.213307746
15	"Glyptemys insculpta"	-680211.938133287	15444.213307746
16	"Glyptemys insculpta"	-587211.938133287	167444.213307746
17	"Glyptemys insculpta"	-1658211.93813329	517444.213307746
18	"Glyptemys insculpta"	-1554211.93813329	218444.213307746
19	"Glyptemys insculpta"	-3211.93813328655	181444.213307746
20	"Glyptemys insculpta"	-1339211.93813329	3444.21330774599
21	"Glyptemys insculpta"	-928211.938133287	-431555.786692254
22	"Glyptemys insculpta"	-1121211.93813329	136444.213307746
23	"Glyptemys insculpta"	-533211.938133287	181444.213307746
24	"Glyptemys insculpta"	-877211.938133287	86444.213307746
25	"Glyptemys insculpta"	-884211.938133287	-46555.786692254
26	"Glyptemys insculpta"	-1363211.93813329	437444.213307746
27	"Glyptemys insculpta"	-341211.938133287	-153555.786692254
28	"Glyptemys insculpta"	-684211.938133287	314444.213307746
29	"Glyptemys insculpta"	-1105211.93813329	110444.213307746
30	"Glyptemys insculpta"	-722211.938133287	-204555.786692254
31	"Glyptemys insculpta"	-1120211.93813329	-294555.786692254
32	"Glyptemys insculpta"	-921211.938133287	-151555.786692254
33	"Glyptemys insculpta"	-1237211.93813329	186444.213307746
34	"Glyptemys insculpta"	-1703211.93813329	376444.213307746
35	"Glyptemys insculpta"	-152211.938133287	330444.213307746
36	"Glyptemys insculpta"	-891211.938133287	-328555.786692254
37	"Glyptemys insculpta"	-1615211.93813329	224444.213307746
38	"Glyptemys insculpta"	-647211.938133287	237444.213307746
39	"Glyptemys insculpta"	-1023211.93813329	-166555.786692254
40	"Glyptemys insculpta"	-1188211.93813329	354444.213307746
41	"Glyptemys insculpta"	-864211.938133287	-337555.786692254
42	"Glyptemys insculpta"	-870211.938133287	509444.213307746
43	"Glyptemys insculpta"	-1452211.93813329	154444.213307746
44	"Glyptemys insculpta"	-946211.938133287	-416555.786692254
45	"Glyptemys insculpta"	-133211.938133287	39444.213307746
46	"Glyptemys insculpta"	-454211.938133287	-359555.786692254
47	"Glyptemys insculpta"	-1003211.93813329	-384555.786692254
48	"Glyptemys insculpta"	-1445211.93813329	97444.213307746
49	"Glyptemys insculpta"	-534211.938133287	-395555.786692254
50	"Glyptemys insculpta"	-1131211.93813329	145444.213307746
51	"Glyptemys insculpta"	-999211.938133287	432444.213307746
52	"Glyptemys insculpta"	-594211.938133287	-56555.786692254
53	"Glyptemys insculpta"	-878211.938133287	18444.213307746
54	"Glyptemys insculpta"	-1732211.93813329	179444.213307746
55	"Glyptemys insculpta"	-1133211.93813329	-37555.786692254
56	"Glyptemys insculpta"	-956211.938133287	-225555.786692254
57	"Glyptemys insculpta"	-1494211.93813329	-16555.786692254
58	"Glyptemys insculpta"	-1087211.93813329	295444.213307746
59	"Glyptemys insculpta"	-1689211.93813329	352444.213307746
60	"Glyptemys insculpta"	-285211.938133287	278444.213307746
61	"Glyptemys insculpta"	-891211.938133287	-509555.786692254
62	"Glyptemys insculpta"	-118211.938133287	321444.213307746
63	"Glyptemys insculpta"	-646211.938133287	306444.213307746
64	"Glyptemys insculpta"	-891211.938133287	-226555.786692254
65	"Glyptemys insculpta"	-574211.938133287	421444.213307746
66	"Glyptemys insculpta"	-1449211.93813329	61444.213307746
67	"Glyptemys insculpta"	38788.0618667135	171444.213307746
68	"Glyptemys insculpta"	-1848211.93813329	352444.213307746
69	"Glyptemys insculpta"	-704211.938133287	421444.213307746
70	"Glyptemys insculpta"	-1156211.93813329	-254555.786692254
71	"Glyptemys insculpta"	-841211.938133287	151444.213307746
72	"Glyptemys insculpta"	-945211.938133287	301444.213307746
73	"Glyptemys insculpta"	-1475211.93813329	38444.213307746
74	"Glyptemys insculpta"	-1768211.93813329	609444.213307746
75	"Glyptemys insculpta"	-17211.9381332865	15444.213307746
76	"Glyptemys insculpta"	-1046211.93813329	395444.213307746
77	"Glyptemys insculpta"	-408211.938133287	62444.213307746
78	"Glyptemys insculpta"	-1352211.93813329	-26555.786692254
79	"Glyptemys insculpta"	-1332211.93813329	262444.213307746
80	"Glyptemys insculpta"	-1581211.93813329	379444.213307746
81	"Glyptemys insculpta"	-1083211.93813329	45444.213307746
82	"Glyptemys insculpta"	-907211.938133287	-8555.78669225401
83	"Glyptemys insculpta"	-684211.938133287	-322555.786692254
84	"Glyptemys insculpta"	-426211.938133287	-37555.786692254
85	"Glyptemys insculpta"	-844211.938133287	-404555.786692254
86	"Glyptemys insculpta"	-1145211.93813329	373444.213307746
87	"Glyptemys insculpta"	-1104211.93813329	-166555.786692254
88	"Glyptemys insculpta"	-489211.938133287	-300555.786692254
89	"Glyptemys insculpta"	-1018211.93813329	472444.213307746
90	"Glyptemys insculpta"	-686211.938133287	-561555.786692254
91	"Glyptemys insculpta"	-855211.938133287	-176555.786692254
92	"Glyptemys insculpta"	-448211.938133287	-188555.786692254
93	"Glyptemys insculpta"	-3211.93813328655	141444.213307746
94	"Glyptemys insculpta"	-751211.938133287	-451555.786692254
95	"Glyptemys insculpta"	-1011211.93813329	473444.213307746
96	"Glyptemys insculpta"	-642211.938133287	-37555.786692254
97	"Glyptemys insculpta"	-568211.938133287	454444.213307746
98	"Glyptemys insculpta"	-1309211.93813329	424444.213307746
99	"Glyptemys insculpta"	-206211.938133287	-156555.786692254
100	"Glyptemys insculpta"	-1600211.93813329	357444.213307746
101	"Glyptemys insculpta"	-631211.938133287	-354555.786692254
102	"Glyptemys insculpta"	-1465211.93813329	202444.213307746
103	"Glyptemys insculpta"	-1526211.93813329	56444.213307746
104	"Glyptemys insculpta"	-620211.938133287	-468555.786692254
105	"Glyptemys insculpta"	-1353211.93813329	50444.213307746
106	"Glyptemys insculpta"	-518211.938133287	-163555.786692254
107	"Glyptemys insculpta"	-435211.938133287	-19555.786692254
108	"Glyptemys insculpta"	-210211.938133287	377444.213307746
109	"Glyptemys insculpta"	-901211.938133287	-514555.786692254
110	"Glyptemys insculpta"	-12211.9381332865	87444.213307746
111	"Glyptemys insculpta"	-996211.938133287	-100555.786692254
112	"Glyptemys insculpta"	-1598211.93813329	242444.213307746
113	"Glyptemys insculpta"	-649211.938133287	96444.213307746
114	"Glyptemys insculpta"	-427211.938133287	-175555.786692254
115	"Glyptemys insculpta"	-552211.938133287	-34555.786692254
116	"Glyptemys insculpta"	-996211.938133287	-300555.786692254
117	"Glyptemys insculpta"	-1053211.93813329	-405555.786692254
118	"Glyptemys insculpta"	-1702211.93813329	383444.213307746
119	"Glyptemys insculpta"	-1376211.93813329	151444.213307746
120	"Glyptemys insculpta"	-314211.938133287	247444.213307746
121	"Glyptemys insculpta"	-437211.938133287	-18555.786692254
122	"Glyptemys insculpta"	-722211.938133287	-519555.786692254
123	"Glyptemys insculpta"	-1729211.93813329	614444.213307746
124	"Glyptemys insculpta"	-888211.938133287	-242555.786692254
125	"Glyptemys insculpta"	-1285211.93813329	-100555.786692254
126	"Glyptemys insculpta"	-1780211.93813329	539444.213307746
127	"Glyptemys insculpta"	-1231211.93813329	53444.213307746
128	"Glyptemys insculpta"	-1171211.93813329	-296555.786692254
129	"Glyptemys insculpta"	-605211.938133287	-87555.786692254
130	"Glyptemys insculpta"	-829211.938133287	-233555.786692254
131	"Glyptemys insculpta"	-1072211.93813329	-277555.786692254
132	"Glyptemys insculpta"	-383211.938133287	-37555.786692254
133	"Glyptemys insculpta"	-1393211.93813329	550444.213307746
134	"Glyptemys insculpta"	-1567211.93813329	574444.213307746
135	"Glyptemys insculpta"	-1711211.93813329	571444.213307746
136	"Glyptemys insculpta"	-651211.938133287	445444.213307746
137	"Glyptemys insculpta"	-84211.9381332865	293444.213307746
138	"Glyptemys insculpta"	78788.0618667135	114444.213307746
139	"Glyptemys insculpta"	-26211.9381332865	311444.213307746
140	"Glyptemys insculpta"	-846211.938133287	-366555.786692254
141	"Glyptemys insculpta"	-713211.938133287	-96555.786692254
142	"Glyptemys insculpta"	-1133211.93813329	40444.213307746
143	"Glyptemys insculpta"	-794211.938133287	360444.213307746
144	"Glyptemys insculpta"	-901211.938133287	326444.213307746
145	"Glyptemys insculpta"	-1464211.93813329	466444.213307746
146	"Glyptemys insculpta"	-719211.938133287	-141555.786692254
147	"Glyptemys insculpta"	-1448211.93813329	55444.213307746
148	"Glyptemys insculpta"	-722211.938133287	-211555.786692254
149	"Glyptemys insculpta"	-896211.938133287	306444.213307746
150	"Glyptemys insculpta"	-283211.938133287	-26555.786692254
151	"Glyptemys insculpta"	-644211.938133287	-174555.786692254
152	"Glyptemys insculpta"	-508211.938133287	-155555.786692254
153	"Glyptemys insculpta"	-1744211.93813329	204444.213307746
154	"Glyptemys insculpta"	-625211.938133287	74444.213307746
155	"Glyptemys insculpta"	169788.061866713	229444.213307746
156	"Glyptemys insculpta"	-346211.938133287	-124555.786692254
157	"Glyptemys insculpta"	-1010211.93813329	507444.213307746
158	"Glyptemys insculpta"	-805211.938133287	159444.213307746
159	"Glyptemys insculpta"	-699211.938133287	361444.213307746
160	"Glyptemys insculpta"	-1211211.93813329	-274555.786692254
161	"Glyptemys insculpta"	-1069211.93813329	148444.213307746
162	"Glyptemys insculpta"	-842211.938133287	-442555.786692254
163	"Glyptemys insculpta"	-1070211.93813329	298444.213307746
164	"Glyptemys insculpta"	-1254211.93813329	-133555.786692254
165	"Glyptemys insculpta"	-566211.938133287	421444.213307746
166	"Glyptemys insculpta"	-1740211.93813329	360444.213307746
167	"Glyptemys insculpta"	-1404211.93813329	383444.213307746
168	"Glyptemys insculpta"	-1126211.93813329	58444.213307746
169	"Glyptemys insculpta"	-911211.938133287	309444.213307746
170	"Glyptemys insculpta"	-1469211.93813329	340444.213307746
171	"Glyptemys insculpta"	-1611211.93813329	210444.213307746
172	"Glyptemys insculpta"	-209211.938133287	-124555.786692254
173	"Glyptemys insculpta"	-1286211.93813329	213444.213307746
174	"Glyptemys insculpta"	-1528211.93813329	594444.213307746
175	"Glyptemys insculpta"	-795211.938133287	-80555.786692254
176	"Glyptemys insculpta"	-1649211.93813329	272444.213307746
177	"Glyptemys insculpta"	-1917211.93813329	403444.213307746
178	"Glyptemys insculpta"	-524211.938133287	60444.213307746
179	"Glyptemys insculpta"	-1766211.93813329	430444.213307746
180	"Glyptemys insculpta"	-370211.938133287	178444.213307746
181	"Glyptemys insculpta"	-1314211.93813329	43444.213307746
182	"Glyptemys insculpta"	-900211.938133287	-298555.786692254
183	"Glyptemys insculpta"	-1304211.93813329	-154555.786692254
184	"Glyptemys insculpta"	-1218211.93813329	192444.213307746
185	"Glyptemys insculpta"	-997211.938133287	313444.213307746
186	"Glyptemys insculpta"	-1761211.93813329	403444.213307746
187	"Glyptemys insculpta"	-1487211.93813329	61444.213307746
188	"Glyptemys insculpta"	-278211.938133287	200444.213307746
189	"Glyptemys insculpta"	-395211.938133287	250444.213307746
190	"Glyptemys insculpta"	-1217211.93813329	123444.213307746
191	"Glyptemys insculpta"	-1016211.93813329	84444.213307746
192	"Glyptemys insculpta"	67788.0618667135	214444.213307746
193	"Glyptemys insculpta"	-1875211.93813329	462444.213307746
194	"Glyptemys insculpta"	-940211.938133287	225444.213307746
195	"Glyptemys insculpta"	17788.0618667135	56444.213307746
196	"Glyptemys insculpta"	-1527211.93813329	467444.213307746
197	"Glyptemys insculpta"	-723211.938133287	-298555.786692254
198	"Glyptemys insculpta"	-1859211.93813329	435444.213307746
199	"Glyptemys insculpta"	-530211.938133287	208444.213307746
200	"Glyptemys insculpta"	-1404211.93813329	484444.213307746
201	"Glyptemys insculpta"	-592211.938133287	161444.213307746
202	"Glyptemys insculpta"	-825211.938133287	-88555.786692254
203	"Glyptemys insculpta"	-502211.938133287	437444.213307746
204	"Glyptemys insculpta"	-517211.938133287	96444.213307746
205	"Glyptemys insculpta"	-450211.938133287	-229555.786692254
206	"Glyptemys insculpta"	-696211.938133287	263444.213307746
207	"Glyptemys insculpta"	-552211.938133287	128444.213307746
208	"Glyptemys insculpta"	-840211.938133287	478444.213307746
209	"Glyptemys insculpta"	-850211.938133287	329444.213307746
210	"Glyptemys insculpta"	-1188211.93813329	-54555.786692254
211	"Glyptemys insculpta"	-728211.938133287	-469555.786692254
212	"Glyptemys insculpta"	-1131211.93813329	-141555.786692254
213	"Glyptemys insculpta"	-1391211.93813329	113444.213307746
214	"Glyptemys insculpta"	-1621211.93813329	396444.213307746
215	"Glyptemys insculpta"	-1707211.93813329	526444.213307746
216	"Glyptemys insculpta"	-384211.938133287	424444.213307746
217	"Glyptemys insculpta"	-970211.938133287	-486555.786692254
218	"Glyptemys insculpta"	-1010211.93813329	128444.213307746
219	"Glyptemys insculpta"	-308211.938133287	-38555.786692254
220	"Glyptemys insculpta"	-977211.938133287	-1555.78669225401
221	"Glyptemys insculpta"	-547211.938133287	118444.213307746
222	"Glyptemys insculpta"	-610211.938133287	-368555.786692254
