eventID;institutionCode;type;sampleSizeValue;sampleSizeUnit;samplingProtocol;samplingEffort;Instal.Date;Last.eventDate;year;continent;country;countryCode;stateProvince;county;minimumElevationInMeters;maximumElevationInMeters;decimalLongitude;decimalLatitude;geodeticDatum;measurementType;measurementValue 
CTAMVA01;Instituto Humboldt;StillImage;1;trampas-noche;Fototrampeo;157 Trampas-noche;3/12/2021;9/05/2022;2022;América del Sur;Colombia;CO;Antioquia;Envigado;1940;1940;-75.55636111;6.1648056;WGS84;Rastreo_y_Monitoreo_AMVA;
CTAMVA02;Instituto Humboldt;StillImage;1;trampas-noche;Fototrampeo;170 Trampas-noche;3/12/2021;22/05/2022;2022;América del Sur;Colombia;CO;Antioquia;Envigado;1931;1931;-75.55672222;6.1648056;WGS84;Rastreo_y_Monitoreo_AMVA;
CTAMVA03;Instituto Humboldt;StillImage;1;trampas-noche;Fototrampeo;47 Trampas-noche;12/03/2022;28/04/2022;2022;América del Sur;Colombia;CO;Antioquia;Envigado;2393;2393;-75.58366666;6.1179444;WGS84;Rastreo_y_Monitoreo_AMVA;
CTAMVA04;Instituto Humboldt;StillImage;1;trampas-noche;Fototrampeo;47 Trampas-noche;12/03/2022;28/04/2022;2022;América del Sur;Colombia;CO;Antioquia;Envigado;2335;2335;-75.58366666;6.1175;WGS84;Rastreo_y_Monitoreo_AMVA;
CTAMVA09;Instituto Humboldt;StillImage;1;trampas-noche;Fototrampeo;28 Trampas-noche;28/04/2022;26/05/2022;2022;América del Sur;Colombia;CO;Antioquia;Sabaneta;2307;2307;-75.596155;6.114335;WGS84;Rastreo_y_Monitoreo_AMVA;
CTAMVA10;Instituto Humboldt;StillImage;1;trampas-noche;Fototrampeo;28 Trampas-noche;28/04/2022;26/05/2022;2022;América del Sur;Colombia;CO;Antioquia;Sabaneta;2371;2371;-75.5961;6.1133333;WGS84;Rastreo_y_Monitoreo_AMVA;
CTAMVA11;Instituto Humboldt;StillImage;1;trampas-noche;Fototrampeo;28 Trampas-noche;28/04/2022;26/05/2022;2022;América del Sur;Colombia;CO;Antioquia;Sabaneta;2344;2344;-75.597546;6.114644;WGS84;Rastreo_y_Monitoreo_AMVA;
CTAMVA12;Instituto Humboldt;StillImage;1;trampas-noche;Fototrampeo;28 Trampas-noche;28/04/2022;26/05/2022;2022;América del Sur;Colombia;CO;Antioquia;Sabaneta;2376;2376;-75.596064;6.113828;WGS84;Rastreo_y_Monitoreo_AMVA;
CTAMVA13;Instituto Humboldt;StillImage;1;trampas-noche;Fototrampeo;28 Trampas-noche;28/04/2022;26/05/2022;2022;América del Sur;Colombia;CO;Antioquia;Sabaneta;2361;2361;-75.596389;6.1138889;WGS84;Rastreo_y_Monitoreo_AMVA;
CTAMVA14;Instituto Humboldt;StillImage;1;trampas-noche;Fototrampeo;28 Trampas-noche;28/04/2022;26/05/2022;2022;América del Sur;Colombia;CO;Antioquia;Sabaneta;2359;2359;-75.59635;6.11365;WGS84;Rastreo_y_Monitoreo_AMVA;
CTAMVA15;Instituto Humboldt;StillImage;1;trampas-noche;Fototrampeo;28 Trampas-noche;28/04/2022;26/05/2022;2022;América del Sur;Colombia;CO;Antioquia;Sabaneta;2412;2412;-75.59527778;6.1130556;WGS84;Rastreo_y_Monitoreo_AMVA;
CTAMVA16;Instituto Humboldt;StillImage;1;trampas-noche;Fototrampeo;28 Trampas-noche;28/04/2022;26/05/2022;2022;América del Sur;Colombia;CO;Antioquia;Sabaneta;2331;2331;-75.59722222;6.1144444;WGS84;Rastreo_y_Monitoreo_AMVA;
CTAMVA17;Instituto Humboldt;StillImage;1;trampas-noche;Fototrampeo;28 Trampas-noche;28/04/2022;26/05/2022;2022;América del Sur;Colombia;CO;Antioquia;Sabaneta;2376;2376;-75.596064;6.113828;WGS84;Rastreo_y_Monitoreo_AMVA;
CTAMVA18;Instituto Humboldt;StillImage;1;trampas-noche;Fototrampeo;28 Trampas-noche;28/04/2022;26/05/2022;2022;América del Sur;Colombia;CO;Antioquia;Sabaneta;2412;2412;-75.5952777;6.1130556;WGS84;Rastreo_y_Monitoreo_AMVA;
CTAMVA19;Instituto Humboldt;StillImage;1;trampas-noche;Fototrampeo;87 Trampas-noche;4/04/2022;30/06/2022;2022;América del Sur;Colombia;CO;Antioquia;Girardota;1334;1334;-75.42267;6.40464;WGS84;Rastreo_y_Monitoreo_AMVA;
CTAMVA20;Instituto Humboldt;StillImage;1;trampas-noche;Fototrampeo;87 Trampas-noche;4/04/2022;30/06/2022;2022;América del Sur;Colombia;CO;Antioquia;Barbosa;1333;1333;-75.41901;6.40754;WGS84;Rastreo_y_Monitoreo_AMVA;
CTAMVA21;Instituto Humboldt;StillImage;1;trampas-noche;Fototrampeo;87 Trampas-noche;4/04/2022;30/06/2022;2022;América del Sur;Colombia;CO;Antioquia;Barbosa;1331;1331;-75.41802;6.4078;WGS84;Rastreo_y_Monitoreo_AMVA;
CTAMVA22;Instituto Humboldt;StillImage;1;trampas-noche;Fototrampeo;87 Trampas-noche;4/04/2022;30/06/2022;2022;América del Sur;Colombia;CO;Antioquia;Barbosa;1333;1333;-75.41761;6.40745;WGS84;Rastreo_y_Monitoreo_AMVA;
CTAMVA23;Instituto Humboldt;StillImage;1;trampas-noche;Fototrampeo;18 Trampas-noche;14/06/2022;2/07/2022;2022;América del Sur;Colombia;CO;Antioquia;Sabaneta;2452;2452;-75.59486;6.11408;WGS84;Rastreo_y_Monitoreo_AMVA;
CTAMVA24;Instituto Humboldt;StillImage;1;trampas-noche;Fototrampeo;25 Trampas-noche;14/06/2022;9/07/2022;2022;América del Sur;Colombia;CO;Antioquia;Sabaneta;2345;2345;-75.59745;6.11461;WGS84;Rastreo_y_Monitoreo_AMVA;
CTAMVA25;Instituto Humboldt;StillImage;1;trampas-noche;Fototrampeo;18 Trampas-noche;14/06/2022;2/07/2022;2022;América del Sur;Colombia;CO;Antioquia;Sabaneta;2312;2312;-75.59884;6.11481;WGS84;Rastreo_y_Monitoreo_AMVA;
CTAMVA26;Instituto Humboldt;StillImage;1;trampas-noche;Fototrampeo;3 Trampas-noche;14/07/2022;17/07/2022;2022;América del Sur;Colombia;CO;Antioquia;Sabaneta;2343;2343;-75.59675;6.11456;WGS84;Rastreo_y_Monitoreo_AMVA;
CTAMVA27;Instituto Humboldt;StillImage;1;trampas-noche;Fototrampeo;46 Trampas-noche;2/07/2022;17/08/2022;2022;América del Sur;Colombia;CO;Antioquia;Sabaneta;2380;2380;-75.59615;6.11431;WGS84;Rastreo_y_Monitoreo_AMVA;
CTAMVA28;Instituto Humboldt;StillImage;1;trampas-noche;Fototrampeo;33 Trampas-noche;14/06/2022;17/07/2022;2022;América del Sur;Colombia;CO;Antioquia;Sabaneta;2316;2316;-75.5972;6.11644;WGS84;Rastreo_y_Monitoreo_AMVA;
CTAMVA29;Instituto Humboldt;StillImage;1;trampas-noche;Fototrampeo;33 Trampas-noche;14/06/2022;17/07/2022;2022;América del Sur;Colombia;CO;Antioquia;Sabaneta;2363;2363;-75.59628;6.11373;WGS84;Rastreo_y_Monitoreo_AMVA;
CTAMVA30;Instituto Humboldt;StillImage;1;trampas-noche;Fototrampeo;33 Trampas-noche;14/06/2022;17/07/2022;2022;América del Sur;Colombia;CO;Antioquia;Sabaneta;2361;2361;-75.59632;6.11459;WGS84;Rastreo_y_Monitoreo_AMVA;
CTAMVA31;Instituto Humboldt;StillImage;1;trampas-noche;Fototrampeo;33 Trampas-noche;14/06/2022;17/07/2022;2022;América del Sur;Colombia;CO;Antioquia;Sabaneta;2365;2365;-75.59621;6.11348;WGS84;Rastreo_y_Monitoreo_AMVA;
CTAMVA33;Instituto Humboldt;StillImage;1;trampas-noche;Fototrampeo;45 Trampas-noche;5/07/2022;19/08/2022;2022;América del Sur;Colombia;CO;Antioquia;La Estrella;2362;2362;-75.66544;6.13062;WGS84;Rastreo_y_Monitoreo_AMVA;
CTAMVA34;Instituto Humboldt;StillImage;1;trampas-noche;Fototrampeo;14 Trampas-noche;5/07/2022;19/07/2022;2022;América del Sur;Colombia;CO;Antioquia;La Estrella;2360;2360;-75.66802;6.12702;WGS84;Rastreo_y_Monitoreo_AMVA;
CTAMVA35;Instituto Humboldt;StillImage;1;trampas-noche;Fototrampeo;14 Trampas-noche;5/07/2022;19/07/2022;2022;América del Sur;Colombia;CO;Antioquia;La Estrella;2176;2176;-75.66647;6.14106;WGS84;Rastreo_y_Monitoreo_AMVA;
CTAMVA36;Instituto Humboldt;StillImage;1;trampas-noche;Fototrampeo;38 Trampas-noche;12/07/2022;19/08/2022;2022;América del Sur;Colombia;CO;Antioquia;La Estrella;1980;1980;-75.6181;6.11293;WGS84;Rastreo_y_Monitoreo_AMVA;
CTAMVA37;Instituto Humboldt;StillImage;1;trampas-noche;Fototrampeo;38 Trampas-noche;12/07/2022;19/08/2022;2022;América del Sur;Colombia;CO;Antioquia;La Estrella;1962;1962;-75.61955;6.11332;WGS84;Rastreo_y_Monitoreo_AMVA;
CTAMVA38;Instituto Humboldt;StillImage;1;trampas-noche;Fototrampeo;35 Trampas-noche;16/07/2022;20/08/2022;2022;América del Sur;Colombia;CO;Antioquia;Caldas;1832;1832;-75.63077;6.067;WGS84;Rastreo_y_Monitoreo_AMVA;
CTAMVA39;Instituto Humboldt;StillImage;1;trampas-noche;Fototrampeo;29 Trampas-noche;19/07/2022;17/08/2022;2022;América del Sur;Colombia;CO;Antioquia;Medellín;1556;1556;-75.59609;6.20284;WGS84;Rastreo_y_Monitoreo_AMVA;
CTAMVA40;Instituto Humboldt;StillImage;1;trampas-noche;Fototrampeo;39 Trampas-noche;19/07/2022;27/08/2022;2022;América del Sur;Colombia;CO;Antioquia;Envigado;1942;1942;-75.59247;6.14627;WGS84;Rastreo_y_Monitoreo_AMVA;
CTAMVA41;Instituto Humboldt;StillImage;1;trampas-noche;Fototrampeo;40 Trampas-noche;18/07/2022;27/08/2022;2022;América del Sur;Colombia;CO;Antioquia;Envigado;1594;1594;-75.59119;6.15842;WGS84;Rastreo_y_Monitoreo_AMVA;
CTAMVA42;Instituto Humboldt;StillImage;1;trampas-noche;Fototrampeo;40 Trampas-noche;18/07/2022;27/08/2022;2022;América del Sur;Colombia;CO;Antioquia;Envigado;1893;1893;-75.58572;6.14282;WGS84;Rastreo_y_Monitoreo_AMVA;
CTAMVA43;Instituto Humboldt;StillImage;1;trampas-noche;Fototrampeo;40 Trampas-noche;18/07/2022;27/08/2022;2022;América del Sur;Colombia;CO;Antioquia;Envigado;1961;1961;-75.59141;6.14673;WGS84;Rastreo_y_Monitoreo_AMVA;
CTAMVA44;Instituto Humboldt;StillImage;1;trampas-noche;Fototrampeo;39 Trampas-noche;11/07/2022;19/08/2022;2022;América del Sur;Colombia;CO;Antioquia;Medellín;1590;1590;-75.57089;6.18989;WGS84;Rastreo_y_Monitoreo_AMVA;
CTAMVA45;Instituto Humboldt;StillImage;1;trampas-noche;Fototrampeo;40 Trampas-noche;6/07/2022;15/08/2022;2022;América del Sur;Colombia;CO;Antioquia;Bello;1490;1490;-75.56879;6.3303;WGS84;Rastreo_y_Monitoreo_AMVA;
CTAMVA46;Instituto Humboldt;StillImage;1;trampas-noche;Fototrampeo;39 Trampas-noche;11/07/2022;19/08/2022;2022;América del Sur;Colombia;CO;Antioquia;Bello;1762;1762;-75.58301;6.35852;WGS84;Rastreo_y_Monitoreo_AMVA;
CTAMVA47;Instituto Humboldt;StillImage;1;trampas-noche;Fototrampeo;35 Trampas-noche;2/09/2022;7/10/2022;2022;América del Sur;Colombia;CO;Antioquia;Bello;1466;1466;-75.561999;6.32605;WGS84;Rastreo_y_Monitoreo_AMVA;
