"site"	"y.1"	"y.2"	"y.3"	"y.4"	"y.5"	"n_observations"	"latitude"	"longitude"	"altitud"	"huella"	"time_observations_started.1"	"time_observations_started.2"	"time_observations_started.3"	"time_observations_started.4"	"time_observations_started.5"	"duration_minutes.1"	"duration_minutes.2"	"duration_minutes.3"	"duration_minutes.4"	"duration_minutes.5"	"effort_distance_km.1"	"effort_distance_km.2"	"effort_distance_km.3"	"effort_distance_km.4"	"effort_distance_km.5"	"number_observers.1"	"number_observers.2"	"number_observers.3"	"number_observers.4"	"number_observers.5"	"protocol_type.1"	"protocol_type.2"	"protocol_type.3"	"protocol_type.4"	"protocol_type.5"
"1"	"L10067922_obs669195_2021"	0	0	NA	NA	NA	2	5.0683641	-75.4744504	2213	68	13.5666666666667	16.8833333333333	NA	NA	NA	8	10	NA	NA	NA	0	0	NA	NA	NA	2	2	NA	NA	NA	"Stationary"	"Stationary"	NA	NA	NA
"2"	"L10079498_obs397020_2021"	0	0	1	0	NA	4	5.0890114	-75.5333151	1827	65	13.5833333333333	17.7666666666667	9.16666666666667	13.5166666666667	NA	4	20	69	20	NA	0	0	0.2	0.72	NA	2	2	1	1	NA	"Stationary"	"Stationary"	"Traveling"	"Traveling"	NA
"3"	"L10079498_obs397020,obs1133303_2021"	1	1	1	1	1	5	5.0890114	-75.5333151	1827	65	7.98333333333333	6.71666666666667	6.83333333333333	16.2	14.1166666666667	164	56	193	60	45	0.48	0	0	0	0.32	2	2	2	2	2	"Traveling"	"Stationary"	"Stationary"	"Stationary"	"Traveling"
"4"	"L10079498_obs397020,obs1133303,obs651643,obs1117078_2021"	1	0	0	1	NA	4	5.0890114	-75.5333151	1827	65	7.7	10.45	14.1833333333333	15.6166666666667	NA	63	126	26	67	NA	0.24	0.56	0	0.46	NA	4	4	4	4	NA	"Traveling"	"Traveling"	"Stationary"	"Traveling"	NA
"5"	"L10079498_obs397020,obs621924,obs1133303_2021"	1	0	NA	NA	NA	2	5.0890114	-75.5333151	1827	65	15.1666666666667	17.6833333333333	NA	NA	NA	104	18	NA	NA	NA	0	0.33	NA	NA	NA	3	3	NA	NA	NA	"Stationary"	"Traveling"	NA	NA	NA
"6"	"L10079498_obs621924,obs397020,obs1133303_2021"	0	1	1	NA	NA	3	5.0890114	-75.5333151	1827	65	7.8	7.26666666666667	9.63333333333333	NA	NA	73	28	127	NA	NA	0.52	0	0.84	NA	NA	2	2	2	NA	NA	"Traveling"	"Stationary"	"Traveling"	NA	NA
"7"	"L10111712_obs914933_2021"	1	1	1	1	1	5	4.951092	-75.6145811	1442.5	65	7.65	6.7	8.06666666666667	8.06666666666667	7.98333333333333	150	180	110	110	120	2.5	1.11	2	0	0	1	1	1	1	1	"Traveling"	"Traveling"	"Traveling"	"Stationary"	"Stationary"
"8"	"L10122377_obs1091918,obs1237778_2021"	0	1	0	0	0	5	5.0676888	-75.5120042	2071	94	17.3333333333333	14.2	7.33333333333333	5.23333333333333	12.2666666666667	46	43	36	15	17	1.15	1.7	3.99	0.27	1.08	2	2	2	2	2	"Traveling"	"Traveling"	"Traveling"	"Traveling"	"Traveling"
"9"	"L10202017_obs144913,obs104722,obs345070,obs766720,obs269273_2021"	0	0	NA	NA	NA	2	4.964491	-75.366998	3815	34	12.6833333333333	10.1	NA	NA	NA	14	17	NA	NA	NA	0.489	0.467	NA	NA	NA	6	6	NA	NA	NA	"Traveling"	"Traveling"	NA	NA	NA
"10"	"L10228444_obs820658_2021"	1	0	1	1	1	5	5.0661042	-75.484263	2122	77	16.3166666666667	14.5	6.08333333333333	11.7166666666667	7.88333333333333	77	65	11	252	128	1.15	0.24	0.35	0.37	0	1	1	1	1	1	"Traveling"	"Traveling"	"Traveling"	"Traveling"	"Stationary"
"11"	"L10281190_obs793173_2021"	0	0	0	NA	NA	3	5.3778846	-75.1729658	2304	31	16.9666666666667	15.7166666666667	16.5	NA	NA	73	49	60	NA	NA	0.15	0	0.13	NA	NA	1	1	1	NA	NA	"Traveling"	"Stationary"	"Traveling"	NA	NA
"12"	"L10295724_obs960565_2021"	0	0	0	0	0	5	4.936789	-75.48234	2125	51	9.26666666666667	7.08333333333333	8.31666666666667	14.5833333333333	10.6833333333333	120	75	180	30	60	0	1.4	4.892	0.322	6.872	1	1	3	3	1	"Stationary"	"Traveling"	"Traveling"	"Traveling"	"Traveling"
"13"	"L10310748_obs1485999_2021"	1	0	NA	NA	NA	2	5.4005967	-75.7175833	1942	65	5.96666666666667	7.53333333333333	NA	NA	NA	93	157	NA	NA	NA	0.64	1.16	NA	NA	NA	1	1	NA	NA	NA	"Traveling"	"Traveling"	NA	NA	NA
"14"	"L10322640_obs884204_2021"	1	0	1	NA	NA	3	5.0794641	-75.6838663	1014	71	7.81666666666667	8.08333333333333	16.4	NA	NA	15	11	12	NA	NA	0	0	0	NA	NA	1	1	1	NA	NA	"Stationary"	"Stationary"	"Stationary"	NA	NA
"15"	"L10374505_obs1017330_2021"	0	1	0	0	0	5	5.0644517	-75.5166033	2077	94	8.21666666666667	16.2166666666667	7.83333333333333	9.66666666666667	8.56666666666667	8	11	3	20	15	0	0	0	0	0	1	1	1	1	1	"Stationary"	"Stationary"	"Stationary"	"Stationary"	"Stationary"
"16"	"L10398174_obs397020,obs629554,obs1133303,obs1117078,obs651643_2021"	0	0	0	NA	NA	3	4.9850583	-75.3882589	3112	25	11.6666666666667	10.8833333333333	9.8	NA	NA	10	22	14	NA	NA	0	0.16	0.15	NA	NA	4	4	4	NA	NA	"Stationary"	"Traveling"	"Traveling"	NA	NA
"17"	"L10545389_obs1439256_2021"	1	1	1	0	1	5	5.3194158	-74.9657747	1087	60	13.7166666666667	8.28333333333333	7.5	7.56666666666667	7.78333333333333	10	15	30	30	20	0	0	0	1	0	2	2	1	2	1	"Stationary"	"Stationary"	"Stationary"	"Traveling"	"Stationary"
"18"	"L10682859_obs842361_2021"	1	1	NA	NA	NA	2	5.3834524	-75.1610413	2036	62	8.86666666666667	7.25	NA	NA	NA	120	193	NA	NA	NA	0	0	NA	NA	NA	1	1	NA	NA	NA	"Stationary"	"Stationary"	NA	NA	NA
"19"	"L10748936_obs793173_2021"	0	1	0	NA	NA	3	5.37319	-75.1626842	2221.5	48	10.3333333333333	9.85	11.5	NA	NA	185	114	71	NA	NA	3.97	3.58	1.82	NA	NA	1	1	1	NA	NA	"Traveling"	"Traveling"	"Traveling"	NA	NA
"20"	"L10788215_obs624647_2021"	0	0	0	NA	NA	3	5.329204	-74.9238598	840	60	6.98333333333333	8.28333333333333	16.7333333333333	NA	NA	272	156	64	NA	NA	2.52	2.08	0.61	NA	NA	3	1	1	NA	NA	"Traveling"	"Traveling"	"Traveling"	NA	NA
"21"	"L10835557_obs793173_2021"	1	1	0	NA	NA	3	5.3942653	-75.1726332	2351	40	6.23333333333333	6.08333333333333	8.5	NA	NA	240	288	75	NA	NA	0.29	4.44	1.88	NA	NA	1	1	1	NA	NA	"Traveling"	"Traveling"	"Traveling"	NA	NA
"22"	"L10970147_obs914933_2021"	1	1	0	1	1	5	4.9423996	-75.603118	1786	60	10.9	7.21666666666667	8.78333333333333	7	9.06666666666667	240	180	160	40	180	0	2	0	2	0	2	1	1	1	2	"Stationary"	"Traveling"	"Stationary"	"Traveling"	"Stationary"
"23"	"L11077825_obs624647_2021"	0	1	NA	NA	NA	2	5.3149726	-74.9099371	630	71	12.8333333333333	14.9833333333333	NA	NA	NA	33	58	NA	NA	NA	0.38	0	NA	NA	NA	1	1	NA	NA	NA	"Traveling"	"Stationary"	NA	NA	NA
"24"	"L11215484_obs1635592_2021"	0	0	NA	NA	NA	2	5.4933207	-75.6280861	1917	60	20.25	14.35	NA	NA	NA	3	2	NA	NA	NA	0	0	NA	NA	NA	1	1	NA	NA	NA	"Stationary"	"Stationary"	NA	NA	NA
"25"	"L11256491_obs1664735_2021"	1	1	1	1	1	5	5.0433955	-75.4747086	2117	57	16.5	6.65	7.93333333333333	6	6.7	60	66	90	120	63	0	0.278	0	0	0.15	1	1	1	1	1	"Stationary"	"Traveling"	"Stationary"	"Stationary"	"Traveling"
"26"	"L11346838_obs820658_2021"	1	0	NA	NA	NA	2	5.0632807	-75.4883861	2105	94	15.1833333333333	16.1833333333333	NA	NA	NA	4	3	NA	NA	NA	0.31	0.34	NA	NA	NA	1	1	NA	NA	NA	"Traveling"	"Traveling"	NA	NA	NA
"27"	"L11353959_obs1685653_2021"	0	0	0	1	NA	4	5.2124615	-75.6372172	891	60	16.2	12.4666666666667	13.4666666666667	19.3	NA	7	9	116	5	NA	0	0	0.435	0	NA	1	1	1	1	NA	"Stationary"	"Stationary"	"Traveling"	"Stationary"	NA
"28"	"L11361798_obs1352185_2021"	1	1	NA	NA	NA	2	5.2821358	-75.0550114	1078	57	6.21666666666667	5.7	NA	NA	NA	248	229	NA	NA	NA	3.122	2.462	NA	NA	NA	1	1	NA	NA	NA	"Traveling"	"Traveling"	NA	NA	NA
"29"	"L11361798_obs1439834_2021"	0	0	1	1	NA	4	5.2821358	-75.0550114	1078	57	9.35	8.16666666666667	8.66666666666667	8	NA	19	20	69	98	NA	0	0.6	1.72	0	NA	1	1	1	1	NA	"Stationary"	"Traveling"	"Traveling"	"Stationary"	NA
"30"	"L11361798_obs1439834,obs1605604_2021"	1	1	NA	NA	NA	2	5.2821358	-75.0550114	1078	57	9.11666666666667	16.5	NA	NA	NA	7	26	NA	NA	NA	0.36	0	NA	NA	NA	2	4	NA	NA	NA	"Traveling"	"Stationary"	NA	NA	NA
"31"	"L11361798_obs1603937_2021"	1	0	0	1	1	5	5.2821358	-75.0550114	1078	57	7.26666666666667	7.4	8.6	6.95	6.61666666666667	31	33	23	98	60	1.1	0.78	0.8	1.95	3.4	1	1	2	2	1	"Traveling"	"Traveling"	"Traveling"	"Traveling"	"Traveling"
"32"	"L11361798_obs1605481_2021"	1	1	0	NA	NA	3	5.2821358	-75.0550114	1078	57	6.88333333333333	7.6	8.78333333333333	NA	NA	35	29	63	NA	NA	1.05	0.43	1.28	NA	NA	3	4	4	NA	NA	"Traveling"	"Traveling"	"Traveling"	NA	NA
"33"	"L11373267_obs1080154_2021"	1	1	1	0	NA	4	5.4527705	-74.6728981	180	97	6.35	13.75	9.25	10.3333333333333	NA	120	1	4	5	NA	0	0	0	0	NA	1	1	1	1	NA	"Stationary"	"Stationary"	"Stationary"	"Stationary"	NA
