"scientific_name"	"id"	"time"	"decimalLongitude"	"decimalLatitude"	"lon"	"lat"	"bio1"	"bio2"	"bio4"
"Panthera onca"	70	"1981"	-89.707707	17.225212	-2498957.48119284	-2450123.81116217	2982	81	2268
"Panthera onca"	69	"1981"	-103.57688	22.065783	-3804882.63058242	-1394046.81907238	2987	83	2270
"Panthera onca"	31	"1981"	-105.486739	21.790444	-4007818.77957939	-1315294.18225214	2999	74	1987
"Panthera onca"	62	"1981"	-105.434825	21.704713	-4006931.08703638	-1325730.98615315	2985	78	1788
"Panthera onca"	72	"1981"	-105.428936	21.687688	-4007190.21095005	-1327558.38847542	2997	92	1970
"Panthera onca"	71	"1981"	-105.481358	21.688696	-4012323.81052934	-1324561.31001249	2998	93	1966
"Panthera onca"	58	"1981"	-105.539765	21.712603	-4016911.73543643	-1319210.72203338	2993	93	1969
"Panthera onca"	66	"1981"	-105.540913	21.782076	-4013581.18051664	-1313025.66335105	2985	94	1767
"Panthera onca"	1	"1981"	-105.510406	21.711659	-4014057.9433598	-1320924.97785535	2986	90	1748
"Panthera onca"	41	"1981"	-64.602445	-3.59319	568477.827719496	-4711124.03332098	2995	58	1799
"Panthera onca"	24	"1981"	-76.70944	1.10564	-1149618.06307654	-4257208.58660364	2986	85	1752
"Panthera onca"	54	"1981"	-105.416213	21.731539	-4003765.15823097	-1324397.02330241	2987	59	1569
"Panthera onca"	89	"1981"	-105.439741	21.663334	-4009462.58717631	-1329105.91911169	2990	41	1282
"Panthera onca"	61	"1981"	-105.406336	21.687364	-4004970.8790556	-1328839.59243664	2987	94	1906
"Panthera onca"	74	"1981"	-105.533356	21.695866	-4017107.95452503	-1321041.31155801	2991	28	1368
"Panthera onca"	131	"1981"	-105.416522	21.728638	-4003939.0611209	-1324635.73570072	2970	53	1454
"Panthera onca"	140	"1981"	-105.491171	21.628966	-4016249.76979705	-1329278.7491089	2993	25	1146
"Panthera onca"	326	"1981"	-105.592353	21.75917	-4019794.32793914	-1312185.07664981	2932	124	1239
"Panthera onca"	348	"1981"	-77.430889	-1.010824	-1272825.94294521	-4427786.5055083	2985	91	1727
"Panthera onca"	369	"1981"	-105.40917	21.747279	-4002291.18510087	-1323398.92440023	2981	84	1743
"Panthera onca"	371	"1981"	-105.571531	21.620905	-4024596.43332248	-1325518.55408949	2987	84	1734
"Panthera onca"	385	"1981"	-105.454363	21.610841	-4013504.01998451	-1332920.07414848	2990	42	1304
"Panthera onca"	386	"1981"	-56.953357	-19.704766	1877124.44565021	-5829248.21793868	2985	88	1710
"Panthera onca"	388	"1981"	-88.981196	18.467927	-2381355.04123947	-2356894.0756857	2984	87	1725
"Panthera onca"	390	"1981"	-105.426271	21.632626	-4009647.19240033	-1332559.6154281	2995	32	1335
"Panthera onca"	406	"1981"	-105.518524	21.782486	-4011350.9010194	-1314232.44967344	2990	79	1728
"Panthera onca"	408	"1981"	-105.544504	21.785036	-4013788.82588791	-1312565.3951449	2977	87	1988
"Panthera onca"	453	"1981"	-105.460771	21.789714	-4005290.8183736	-1316798.0365739	3000	103	1857
"Panthera onca"	454	"1981"	-105.461669	21.697306	-4009951.37692198	-1324895.17302568	2999	101	1929
"Panthera onca"	90	"1981"	-105.432828	21.629297	-4010460.59878413	-1332489.20554467	2949	87	3425
"Panthera onca"	91	"1981"	-92.087844	18.360029	-2733968.61217357	-2257152.8614774	2945	89	3368
"Panthera onca"	59	"1981"	-104.91316	21.741119	-3953471.13874544	-1351241.94724909	2948	86	3385
"Panthera onca"	82	"1981"	-103.76663	22.138367	-3820363.4546239	-1377538.52938354	2942	85	3285
"Panthera onca"	64	"1981"	-103.620392	22.047132	-3810107.39991389	-1393425.09032823	2941	84	3238
"Panthera onca"	84	"1981"	-105.536215	21.749632	-4014725.79817055	-1316145.56365573	2988	81	753
"Panthera onca"	189	"1981"	-105.470044	21.762482	-4007554.3274782	-1318685.2222952	2979	73	758
"Panthera onca"	190	"1981"	-105.579825	21.666014	-4023179.42836587	-1321085.62252934	2964	73	552
"Panthera onca"	327	"1981"	-105.56144	21.638043	-4022749.23099057	-1324571.58042178	2988	76	581
"Panthera onca"	443	"1981"	-105.412469	21.659061	-4006975.57171935	-1330994.96636798	2985	77	599
"Panthera onca"	65	"1981"	-105.418542	21.795503	-4000833.79176449	-1318626.28047342	2983	52	354
"Panthera onca"	47	"1981"	-90.424448	20.587642	-2480952.18027557	-2105768.38299456	2973	68	606
"Panthera onca"	118	"1981"	-105.524873	21.622901	-4019883.59851689	-1327939.33969133	2968	66	598
"Panthera onca"	19	"1981"	-105.547301	21.65371	-4020575.05284233	-1323978.80819305	2974	66	606
"Panthera onca"	160	"1981"	-105.503727	21.748898	-4011553.81421425	-1318014.11616171	2956	68	569
"Panthera onca"	161	"1981"	-60.27956	-21.800889	1355892.27814614	-6049424.24628934	2956	68	569
"Panthera onca"	162	"1981"	-105.415825	21.683512	-4006099.77516276	-1328653.34710471	2956	68	569
"Panthera onca"	163	"1981"	-77.490995	-1.091414	-1282209.12043143	-4433610.05683887	2956	68	569
"Panthera onca"	164	"1981"	-97.913578	23.278695	-3179694.26462065	-1556557.17438286	2956	68	569
"Panthera onca"	165	"1981"	-105.519191	21.714658	-4014777.38286974	-1320172.79781114	2956	68	569
"Panthera onca"	166	"1981"	-105.595534	21.673256	-4024372.21389232	-1319573.49780018	2956	68	569
"Panthera onca"	167	"1981"	-105.459487	21.655958	-4011780.47662599	-1328660.2704346	2956	68	569
"Panthera onca"	168	"1981"	-72.604596	11.057622	-524202.144969323	-3400021.08299905	2956	68	569
"Panthera onca"	213	"1981"	-105.535832	21.707207	-4016790.61512563	-1319904.6540832	2956	68	569
"Panthera onca"	214	"1981"	-88.608543	17.149917	-2374930.30972378	-2494296.41534462	2956	68	569
"Panthera onca"	215	"1981"	-56.6085	-17.11111	1902017.86851404	-5635428.42399855	2956	68	569
"Panthera onca"	315	"1981"	-105.531179	21.790875	-4012184.22940625	-1312790.62460143	2966	58	302
"Panthera onca"	329	"1981"	-105.559044	21.758942	-4016518.03557169	-1314056.92732265	2969	70	622
"Panthera onca"	366	"1981"	-90.290864	17.393786	-2560675.34957232	-2413833.97114321	2973	69	619
"Panthera onca"	405	"1981"	-54.406095	-25.709689	2366112.35482076	-6159209.48478301	2966	58	302
"Panthera onca"	411	"1981"	-70.038611	-12.552882	-239894.662599597	-5446853.51230942	2966	58	302
"Panthera onca"	423	"1981"	-88.015741	21.125531	-2201034.82931055	-2131883.49304084	2973	68	606
"Panthera onca"	430	"1981"	-90.469687	16.383047	-2610767.14594345	-2502238.94435548	2967	71	596
"Panthera onca"	451	"1981"	-56.739311	-17.372905	1884385.13267422	-5657760.49717669	2966	70	588
"Panthera onca"	452	"1981"	-54.00735	-26.02209	2436253.54740286	-6166077.81645134	2979	60	584
"Panthera onca"	474	"1981"	-79.627116	0.874344	-1558499.80842882	-4222627.7589132	2976	67	625
"Panthera onca"	482	"1981"	-89.907485	17.555652	-2512302.35347349	-2412032.901784	2911	76	520
"Panthera onca"	483	"1981"	-99.258985	21.873089	-3375391.96174698	-1626112.20154946	2900	77	537
"Panthera onca"	212	"1981"	-56.659649	-16.552261	1887207.65898466	-5596223.84072771	2964	69	565
"Panthera onca"	211	"1981"	-95.812781	17.761081	-3168329.18367547	-2160684.35869889	2964	69	565
"Panthera onca"	210	"1981"	-95.919062	17.718654	-3181613.96488665	-2159909.64250133	2964	69	565
"Panthera onca"	209	"1981"	-90.270074	17.238693	-2562839.76002311	-2429162.34463306	2964	69	565
"Panthera onca"	208	"1981"	-90.311731	17.216685	-2568238.21928161	-2429753.04863511	2964	69	565
"Panthera onca"	207	"1981"	-103.552774	22.159648	-3798043.31979575	-1386903.18961245	2964	69	565
"Panthera onca"	206	"1981"	-87.005331	20.680247	-2100996.30299786	-2205219.46451221	2964	69	565
"Panthera onca"	205	"1981"	-56.600718	-17.362994	1906273.01175238	-5653411.49519859	2964	69	565
"Panthera onca"	201	"1981"	-56.795052	-17.238217	1873943.94706985	-5649488.26028654	2964	69	565
"Panthera onca"	200	"1981"	-56.713721	-17.066953	1884812.49603494	-5634990.47264401	2964	69	565
"Panthera onca"	199	"1981"	-56.679681	-16.527552	1883746.50218558	-5594947.57878285	2964	69	565
"Panthera onca"	198	"1981"	-56.741018	-17.295514	1883197.51304386	-5652221.28316308	2964	69	565
"Panthera onca"	197	"1981"	-103.743681	22.161032	-3817001.78666085	-1376722.35277642	2964	69	565
"Panthera onca"	196	"1981"	-103.594032	22.051697	-3807260.37794477	-1394405.32759901	2964	69	565
"Panthera onca"	195	"1981"	-54.247679	-25.733314	2392668.44264912	-6155519.0891561	2964	69	565
"Panthera onca"	194	"1981"	-56.968113	-17.712255	1851971.89172549	-5688105.34120322	2964	69	565
"Panthera onca"	159	"1981"	-50.396073	-5.642501	2656656.40956832	-4562909.82392452	2964	69	565
"Panthera onca"	158	"1981"	-57.489201	-17.861935	1770603.29055853	-5711918.19652983	2964	69	565
"Panthera onca"	157	"1981"	-105.558132	21.611288	-4023748.17610961	-1327111.14493209	2964	69	565
"Panthera onca"	11	"1981"	-105.553951	21.652587	-4021288.05000582	-1323707.74387431	2941	67	603
"Panthera onca"	361	"1981"	-105.467719	21.769944	-4006955.38486409	-1318156.21371228	2978	64	613
"Panthera onca"	455	"1981"	-88.455244	16.643404	-2370857.48129284	-2547204.16417126	2979	67	644
"Panthera onca"	456	"1981"	-54.511988	-25.630082	2347550.07416598	-6157519.34021487	2979	67	644
"Panthera onca"	457	"1981"	-54.491681	-25.792204	2352970.22267311	-6167328.4642455	2979	67	644
"Panthera onca"	458	"1981"	-105.590962	21.634061	-4025864.9189852	-1323278.37551122	2979	67	644
"Panthera onca"	120	"1981"	-105.478771	21.636691	-4014640.93587894	-1329287.13203747	2979	62	605
"Panthera onca"	466	"1981"	-105.42958	21.66878	-4008188.29587664	-1329189.46741528	2980	58	622
"Panthera onca"	487	"1981"	-105.42436	21.744945	-4003907.88286512	-1322763.46808442	2982	58	626
"Panthera onca"	410	"1981"	-105.448532	21.646644	-4011157.23911986	-1330089.05637651	2965	69	577
"Panthera onca"	404	"1981"	-105.441082	21.719073	-4006839.75584613	-1324118.09157854	2965	69	577
"Panthera onca"	403	"1981"	-105.560441	21.766885	-4016261.95864807	-1313279.48283623	2965	69	577
"Panthera onca"	402	"1981"	-105.441812	21.77431	-4004180.36028402	-1319206.96558314	2965	69	577
"Panthera onca"	401	"1981"	-105.56678	21.705952	-4019909.96467783	-1318294.60552924	2965	69	577
"Panthera onca"	400	"1981"	-105.434093	21.685736	-4007796.70685048	-1327444.53211475	2965	69	577
"Panthera onca"	399	"1981"	-105.463524	21.798311	-4005137.2025955	-1315887.33996427	2965	69	577
"Panthera onca"	398	"1981"	-105.499256	21.619681	-4017509.03955962	-1329647.25014135	2965	69	577
"Panthera onca"	397	"1981"	-105.489804	21.729164	-4011155.58562946	-1320526.11208733	2965	69	577
"Panthera onca"	396	"1981"	-105.505587	21.672126	-4015539.22746424	-1324675.72687304	2965	69	577
"Panthera onca"	395	"1981"	-105.465433	21.743657	-4008030.35928638	-1320600.56777267	2965	69	577
"Panthera onca"	394	"1981"	-105.492927	21.732969	-4011275.75838653	-1320017.43632807	2965	69	577
"Panthera onca"	314	"1981"	-105.521213	21.779569	-4011760.90473747	-1314340.31071382	2956	68	569
"Panthera onca"	313	"1981"	-105.426853	21.759612	-4003429.2114132	-1321331.87204039	2956	68	569
"Panthera onca"	312	"1981"	-105.420494	21.790096	-4001293.91421676	-1318995.20314696	2956	68	569
"Panthera onca"	311	"1981"	-105.564311	21.631293	-4023367.64933089	-1325006.0445948	2956	68	569
"Panthera onca"	310	"1981"	-105.592612	21.706157	-4022451.0077618	-1316839.3789768	2956	68	569
"Panthera onca"	309	"1981"	-105.452218	21.715559	-4008114.31735609	-1323810.44049267	2956	68	569
"Panthera onca"	308	"1981"	-105.467644	21.639358	-4013408.27048128	-1329670.11537648	2956	68	569
"Panthera onca"	307	"1981"	-105.57025	21.634404	-4023800.55926176	-1324401.54911229	2956	68	569
"Panthera onca"	306	"1981"	-105.406765	21.659458	-4006391.55687845	-1331276.1684152	2956	68	569
